word,translation,language,category,subcategory,part_of_speech,curriculum_level,example_sentence,example_translation,gender,article,base_word,,
le bras,arm,FR,health_lifestyle,parts_of_body,noun,KS3,Lève ton bras.,Raise your arm.,m,le,le bras,,
la tête,head,FR,health_lifestyle,parts_of_body,noun,KS3,J'ai mal à la tête.,My head hurts.,f,la,la tête,,
l'estomac,stomach,FR,health_lifestyle,parts_of_body,noun,KS3,J'ai faim à l'estomac.,I have hunger in my stomach.,m,l',l'estomac,,
le dos,back,FR,health_lifestyle,parts_of_body,noun,KS3,Attention à ton dos.,Be careful with your back.,m,le,le dos,,
la bouche,mouth,FR,health_lifestyle,parts_of_body,noun,KS3,Ferme ta bouche.,Close your mouth.,f,la,la bouche,,
le cœur,heart,FR,health_lifestyle,parts_of_body,noun,KS3,Mon cœur bat vite.,My heart beats fast.,m,le,le cœur,,
le nez,nose,FR,health_lifestyle,parts_of_body,noun,KS3,Tu as un petit nez.,You have a small nose.,m,le,le nez,,
l'œil,eye,FR,health_lifestyle,parts_of_body,noun,KS3,Ouvre tes yeux.,Open your eyes.,m,l',l'œil,,
der Hals,neck,DE,health_lifestyle,parts_of_body,noun,KS3,Ich habe Nackenschmerzen.,I have a neck ache.,m,der,der Hals,,
die Hand,hand,DE,health_lifestyle,parts_of_body,noun,KS3,Wasch dir die Hände.,Wash your hands.,f,die,die Hand,,
das Bein,leg,DE,health_lifestyle,parts_of_body,noun,KS3,Mein Bein tut weh.,My leg hurts.,n,das,das Bein,,
das Ohr,ear,DE,health_lifestyle,parts_of_body,noun,KS3,Mein Hund hat große Ohren.,My dog has big ears.,n,das,das Ohr,,
der Arm,arm,DE,health_lifestyle,parts_of_body,noun,KS3,Hebe deinen Arm.,Raise your arm.,m,der,der Arm,,
der Kopf,head,DE,health_lifestyle,parts_of_body,noun,KS3,Mein Kopf tut weh.,My head hurts.,m,der,der Kopf,,
der Magen,stomach,DE,health_lifestyle,parts_of_body,noun,KS3,Ich habe Hunger im Magen.,I have hunger in my stomach.,m,der,der Magen,,
der Rücken,back,DE,health_lifestyle,parts_of_body,noun,KS3,Pass auf deinen Rücken auf.,Be careful with your back.,m,der,der Rücken,,
der Mund,mouth,DE,health_lifestyle,parts_of_body,noun,KS3,Mach deinen Mund zu.,Close your mouth.,m,der,der Mund,,
das Herz,heart,DE,health_lifestyle,parts_of_body,noun,KS3,Mein Herz schlägt schnell.,My heart beats fast.,n,das,das Herz,,
die Nase,nose,DE,health_lifestyle,parts_of_body,noun,KS3,Du hast eine kleine Nase.,You have a small nose.,f,die,die Nase,,
das Auge,eye,DE,health_lifestyle,parts_of_body,noun,KS3,Öffne deine Augen.,Open your eyes.,n,das,das Auge,,
Tengo tos,I have a cough,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Tengo tos fuerte.,I have a strong cough.,,,Tengo tos,,
Tengo fiebre,I have a fever,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Tengo fiebre alta.,I have a high fever.,,,Tengo fiebre,,
Tengo gripe,I have the flu,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Tengo gripe y me siento mal.,I have the flu and feel bad.,,,Tengo gripe,,
Tengo una insolación,I have sunstroke,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Creo que tengo una insolación.,I think I have sunstroke.,,,Tengo una insolación,,
Tengo la pierna rota,I have a broken leg,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Me caí y tengo la pierna rota.,I fell and have a broken leg.,,,Tengo la pierna rota,,
Tengo catarro,I have a cold,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Tengo catarro y estornudo mucho.,I have a cold and sneeze a lot.,,,Tengo catarro,,
Tengo una picadura,I have a bite/sting,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Tengo una picadura de insecto.,I have an insect bite.,,,Tengo una picadura,,
Tengo diarrea,I have diarrhea,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Tengo diarrea desde ayer.,I've had diarrhea since yesterday.,,,Tengo diarrea,,
Tengo dolor de cabeza,I have a headache,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Tengo un dolor de cabeza fuerte.,I have a bad headache.,,,Tengo dolor de cabeza,,
Tengo dolor de garganta,I have a sore throat,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Tengo dolor de garganta al tragar.,I have a sore throat when swallowing.,,,Tengo dolor de garganta,,
Tengo dolor de estómago,I have a stomach ache,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Tengo dolor de estómago después de comer.,I have a stomach ache after eating.,,,Tengo dolor de estómago,,
Me duele la garganta,My throat hurts,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Me duele la garganta cuando hablo.,My throat hurts when I talk.,,,Me duele la garganta,,
Me duelen los oídos,My ears hurt,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Me duelen los oídos por el frío.,My ears hurt from the cold.,,,Me duelen los oídos,,
Estoy enfermo/a,I am sick,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Estoy enfermo/a y no puedo ir a la escuela.,I am sick and can't go to school.,,,Estoy enfermo/a,,
Me siento mal,I feel unwell / bad,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Me siento mal desde esta mañana.,I've felt unwell since this morning.,,,Me siento mal,,
Estoy cansado/a,I am tired,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Estoy cansado/a todo el tiempo.,I am tired all the time.,,,Estoy cansado/a,,
No puedo dormir,I can't sleep,ES ,health_lifestyle,at_the_doctors,phrase,KS3,No puedo dormir bien por la noche.,I can't sleep well at night.,,,No puedo dormir,,
Tengo náuseas,I have nausea,ES ,health_lifestyle,at_the_doctors,phrase,KS3,"Después de comer, tengo náuseas.","After eating, I have nausea.",,,Tengo náuseas,,
Quiero vomitar,I want to vomit,ES ,health_lifestyle,at_the_doctors,phrase,KS3,"Me siento muy mal, quiero vomitar.","I feel very sick, I want to vomit.",,,Quiero vomitar,,
Tengo alergias,I have allergies,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Tengo alergias al polen.,I have pollen allergies.,,,Tengo alergias,,
Tengo picazón,I have an itch,ES ,health_lifestyle,at_the_doctors,phrase,KS3,Tengo picazón en la piel.,I have an itch on my skin.,,,Tengo picazón,,
¿Qué te pasa?,What's wrong (with you)?,ES ,health_lifestyle,at_the_doctors,question,KS3,"El doctor pregunta: ""¿Qué te pasa?""","The doctor asks: ""What's wrong with you?""",,,¿Qué te pasa?,,
¿Dónde te duele?,Where does it hurt?,ES ,health_lifestyle,at_the_doctors,question,KS3,"El doctor pregunta: ""¿Dónde te duele?""","The doctor asks: ""Where does it hurt?""",,,¿Dónde te duele?,,
¿Desde cuándo?,Since when?,ES ,health_lifestyle,at_the_doctors,question,KS3,"""¿Desde cuándo tienes la fiebre?""","""Since when have you had the fever?""",,,¿Desde cuándo?,,
Necesito un médico,I need a doctor,ES ,health_lifestyle,at_the_doctors,phrase,KS3,"Me siento mal, necesito un médico.","I feel unwell, I need a doctor.",,,Necesito un médico,,
¿Hay una farmacia cerca?,Is there a pharmacy nearby?,ES ,health_lifestyle,at_the_doctors,question,KS3,¿Hay una farmacia cerca de aquí?,Is there a pharmacy near here?,,,¿Hay una farmacia cerca?,,
J'ai de la toux,I have a cough,FR,health_lifestyle,at_the_doctors,phrase,KS3,J'ai une forte toux.,I have a strong cough.,,,J'ai de la toux,,
J'ai de la fièvre,I have a fever,FR,health_lifestyle,at_the_doctors,phrase,KS3,J'ai une forte fièvre.,I have a high fever.,,,J'ai de la fièvre,,
J'ai la grippe,I have the flu,FR,health_lifestyle,at_the_doctors,phrase,KS3,J'ai la grippe et je me sens mal.,I have the flu and feel bad.,,,J'ai la grippe,,
J'ai une insolation,I have sunstroke,FR,health_lifestyle,at_the_doctors,phrase,KS3,Je pense que j'ai une insolation.,I think I have sunstroke.,,,J'ai une insolation,,
J'ai la jambe cassée,I have a broken leg,FR,health_lifestyle,at_the_doctors,phrase,KS3,Je suis tombé(e) et j'ai la jambe cassée.,I fell and have a broken leg.,,,J'ai la jambe cassée,,
J'ai un rhume,I have a cold,FR,health_lifestyle,at_the_doctors,phrase,KS3,J'ai un rhume et j'éternue beaucoup.,I have a cold and sneeze a lot.,,,J'ai un rhume,,
J'ai une piqûre,I have a bite/sting,FR,health_lifestyle,at_the_doctors,phrase,KS3,J'ai une piqûre d'insecte.,I have an insect bite.,,,J'ai une piqûre,,
J'ai la diarrhée,I have diarrhea,FR,health_lifestyle,at_the_doctors,phrase,KS3,J'ai la diarrhée depuis hier.,I've had diarrhea since yesterday.,,,J'ai la diarrhée,,
J'ai mal à la tête,I have a headache,FR,health_lifestyle,at_the_doctors,phrase,KS3,J'ai un fort mal de tête.,I have a bad headache.,,,J'ai mal à la tête,,
J'ai mal à la gorge,I have a sore throat,FR,health_lifestyle,at_the_doctors,phrase,KS3,J'ai mal à la gorge quand j'avale.,I have a sore throat when swallowing.,,,J'ai mal à la gorge,,
J'ai mal au ventre,I have a stomach ache,FR,health_lifestyle,at_the_doctors,phrase,KS3,J'ai mal au ventre après manger.,I have a stomach ache after eating.,,,J'ai mal au ventre,,
Ma gorge me fait mal,My throat hurts,FR,health_lifestyle,at_the_doctors,phrase,KS3,Ma gorge me fait mal quand je parle.,My throat hurts when I talk.,,,Ma gorge me fait mal,,
Mes oreilles me font mal,My ears hurt,FR,health_lifestyle,at_the_doctors,phrase,KS3,Mes oreilles me font mal à cause du froid.,My ears hurt from the cold.,,,Mes oreilles me font mal,,
Je suis malade,I am sick,FR,health_lifestyle,at_the_doctors,phrase,KS3,Je suis malade et je ne peux pas aller à l'école.,I am sick and can't go to school.,,,Je suis malade,,
Je me sens mal,I feel unwell / bad,FR,health_lifestyle,at_the_doctors,phrase,KS3,Je me sens mal depuis ce matin.,I've felt unwell since this morning.,,,Je me sens mal,,
Je suis fatigué(e),I am tired,FR,health_lifestyle,at_the_doctors,phrase,KS3,Je suis fatigué(e) tout le temps.,I am tired all the time.,,,Je suis fatigué(e),,
Je ne peux pas dormir,I can't sleep,FR,health_lifestyle,at_the_doctors,phrase,KS3,Je ne peux pas bien dormir la nuit.,I can't sleep well at night.,,,Je ne peux pas dormir,,
J'ai des nausées,I have nausea,FR,health_lifestyle,at_the_doctors,phrase,KS3,"Après manger, j'ai des nausées.","After eating, I have nausea.",,,J'ai des nausées,,
Je veux vomir,I want to vomit,FR,health_lifestyle,at_the_doctors,phrase,KS3,"Je me sens très mal, je veux vomir.","I feel very sick, I want to vomit.",,,Je veux vomir,,
J'ai des allergies,I have allergies,FR,health_lifestyle,at_the_doctors,phrase,KS3,J'ai des allergies au pollen.,I have pollen allergies.,,,J'ai des allergies,,
J'ai des démangeaisons,I have an itch,FR,health_lifestyle,at_the_doctors,phrase,KS3,J'ai des démangeaisons sur la peau.,I have an itch on my skin.,,,J'ai des démangeaisons,,
Qu'est-ce qui ne va pas ?,What's wrong (with you)?,FR,health_lifestyle,at_the_doctors,question,KS3,"Le docteur demande: ""Qu'est-ce qui ne va pas ?""","The doctor asks: ""What's wrong with you?""",,,Qu'est-ce qui ne va pas ?,,
Où as-tu mal ?,Where does it hurt?,FR,health_lifestyle,at_the_doctors,question,KS3,"Le docteur demande: ""Où as-tu mal ?""","The doctor asks: ""Where does it hurt?""",,,Où as-tu mal ?,,
Depuis quand ?,Since when?,FR,health_lifestyle,at_the_doctors,question,KS3,"""Depuis quand as-tu la fièvre ?""","""Since when have you had the fever?""",,,Depuis quand ?,,
J'ai besoin d'un médecin,I need a doctor,FR,health_lifestyle,at_the_doctors,phrase,KS3,"Je me sens mal, j'ai besoin d'un médecin.","I feel unwell, I need a doctor.",,,J'ai besoin d'un médecin,,
Y a-t-il une pharmacie près d'ici ?,Is there a pharmacy nearby?,FR,health_lifestyle,at_the_doctors,question,KS3,Y a-t-il une pharmacie près d'ici ?,Is there a pharmacy near here?,,,Y a-t-il une pharmacie près d'ici ?,,
Ich habe Husten,I have a cough,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich habe starken Husten.,I have a strong cough.,,,Ich habe Husten,,
Ich habe Fieber,I have a fever,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich habe hohes Fieber.,I have a high fever.,,,Ich habe Fieber,,
Ich habe Grippe,I have the flu,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich habe Grippe und fühle mich schlecht.,I have the flu and feel bad.,,,Ich habe Grippe,,
Ich habe einen Sonnenstich,I have sunstroke,DE,health_lifestyle,at_the_doctors,phrase,KS3,"Ich glaube, ich habe einen Sonnenstich.",I think I have sunstroke.,,,Ich habe einen Sonnenstich,,
Ich habe ein gebrochenes Bein,I have a broken leg,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich bin gefallen und habe ein gebrochenes Bein.,I fell and have a broken leg.,,,Ich habe ein gebrochenes Bein,,
Ich habe Schnupfen,I have a cold,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich habe Schnupfen und niese viel.,I have a cold and sneeze a lot.,,,Ich habe Schnupfen,,
Ich habe einen Stich,I have a bite/sting,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich habe einen Insektenstich.,I have an insect bite.,,,Ich habe einen Stich,,
Ich habe Durchfall,I have diarrhea,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich habe seit gestern Durchfall.,I've had diarrhea since yesterday.,,,Ich habe Durchfall,,
Ich habe Kopfschmerzen,I have a headache,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich habe starke Kopfschmerzen.,I have a bad headache.,,,Ich habe Kopfschmerzen,,
Ich habe Halsschmerzen,I have a sore throat,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich habe Halsschmerzen beim Schlucken.,I have a sore throat when swallowing.,,,Ich habe Halsschmerzen,,
Ich habe Bauchschmerzen,I have a stomach ache,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich habe Bauchschmerzen nach dem Essen.,I have a stomach ache after eating.,,,Ich habe Bauchschmerzen,,
Mein Hals tut weh,My throat hurts,DE,health_lifestyle,at_the_doctors,phrase,KS3,"Mein Hals tut weh, wenn ich spreche.",My throat hurts when I talk.,,,Mein Hals tut weh,,
Meine Ohren tun weh,My ears hurt,DE,health_lifestyle,at_the_doctors,phrase,KS3,Meine Ohren tun weh von der Kälte.,My ears hurt from the cold.,,,Meine Ohren tun weh,,
Ich bin krank,I am sick,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich bin krank und kann nicht zur Schule gehen.,I am sick and can't go to school.,,,Ich bin krank,,
Ich fühle mich schlecht,I feel unwell / bad,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich fühle mich seit heute Morgen schlecht.,I've felt unwell since this morning.,,,Ich fühle mich schlecht,,
Ich bin müde,I am tired,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich bin die ganze Zeit müde.,I am tired all the time.,,,Ich bin müde,,
Ich kann nicht schlafen,I can't sleep,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich kann nachts nicht gut schlafen.,I can't sleep well at night.,,,Ich kann nicht schlafen,,
Ich habe Übelkeit,I have nausea,DE,health_lifestyle,at_the_doctors,phrase,KS3,Nach dem Essen habe ich Übelkeit.,"After eating, I have nausea.",,,Ich habe Übelkeit,,
Ich möchte mich übergeben,I want to vomit,DE,health_lifestyle,at_the_doctors,phrase,KS3,"Mir ist sehr schlecht, ich möchte mich übergeben.","I feel very sick, I want to vomit.",,,Ich möchte mich übergeben,,
Ich habe Allergien,I have allergies,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich habe Pollenallergien.,I have pollen allergies.,,,Ich habe Allergien,,
Ich habe Juckreiz,I have an itch,DE,health_lifestyle,at_the_doctors,phrase,KS3,Ich habe Juckreiz auf der Haut.,I have an itch on my skin.,,,Ich habe Juckreiz,,
Was fehlt dir?,What's wrong (with you)?,DE,health_lifestyle,at_the_doctors,question,KS3,"Der Arzt fragt: ""Was fehlt dir?""","The doctor asks: ""What's wrong with you?""",,,Was fehlt dir?,,
Wo tut es weh?,Where does it hurt?,DE,health_lifestyle,at_the_doctors,question,KS3,"Der Arzt fragt: ""Wo tut es weh?""","The doctor asks: ""Where does it hurt?""",,,Wo tut es weh?,,
Seit wann?,Since when?,DE,health_lifestyle,at_the_doctors,question,KS3,Seit wann hast du Fieber?,Since when have you had the fever?,,,Seit wann?,,
Ich brauche einen Arzt,I need a doctor,DE,health_lifestyle,at_the_doctors,phrase,KS3,"Mir ist schlecht, ich brauche einen Arzt.","I feel unwell, I need a doctor.",,,Ich brauche einen Arzt,,
Gibt es eine Apotheke in der Nähe?,Is there a pharmacy nearby?,DE,health_lifestyle,at_the_doctors,question,KS3,Gibt es eine Apotheke in der Nähe?,Is there a pharmacy near here?,,,Gibt es eine Apotheke in der Nähe?,,
beber agua,to drink water,ES ,health_lifestyle,healthy_living,verb_phrase,KS3,Es importante beber agua cada día.,It's important to drink water every day.,,,beber agua,,
fumar,to smoke,ES ,health_lifestyle,healthy_living,verb,KS3,Fumar es malo para la salud.,Smoking is bad for your health.,,,fumar,,
el descanso,rest,ES ,health_lifestyle,healthy_living,noun,KS3,Necesito un buen descanso.,I need a good rest.,m,el,descanso,,
comer sano,to eat healthily,ES ,health_lifestyle,healthy_living,verb_phrase,KS3,Intento comer sano.,I try to eat healthily.,,,comer sano,,
la comida basura,junk food,ES ,health_lifestyle,healthy_living,noun,KS3,La comida basura no es buena.,Junk food is not good.,f,la,comida basura,,
relajarse,to relax,ES ,health_lifestyle,healthy_living,verb,KS3,Me gusta relajarme después de clase.,I like to relax after class.,,,relajarse,,
la dieta,diet,ES ,health_lifestyle,healthy_living,noun,KS3,Sigo una dieta equilibrada.,I follow a balanced diet.,f,la,dieta,,
el alcohol,alcohol,ES ,health_lifestyle,healthy_living,noun,KS3,El alcohol es para adultos.,Alcohol is for adults.,m,el,alcohol,,
la revisión,check-up,ES ,health_lifestyle,healthy_living,noun,KS3,Tengo una revisión anual.,I have an annual check-up.,f,la,revisión,,
el ejercicio,exercise,ES ,health_lifestyle,healthy_living,noun,KS3,Hacer ejercicio es divertido.,Doing exercise is fun.,m,el,ejercicio,,
hacer ejercicio,to do exercise,ES ,health_lifestyle,healthy_living,verb_phrase,KS3,Hago ejercicio tres veces por semana.,I do exercise three times a week.,,,hacer ejercicio,,
hacer deporte,to do sport,ES ,health_lifestyle,healthy_living,verb_phrase,KS3,Me gusta hacer deporte al aire libre.,I like to do sport outdoors.,,,hacer deporte,,
dormir suficiente,to sleep enough,ES ,health_lifestyle,healthy_living,verb_phrase,KS3,Es importante dormir suficiente.,It's important to sleep enough.,,,dormir suficiente,,
lavarse las manos,to wash hands,ES ,health_lifestyle,healthy_living,verb_phrase,KS3,Hay que lavarse las manos antes de comer.,You have to wash your hands before eating.,,,lavarse las manos,,
ducharse,to shower,ES ,health_lifestyle,healthy_living,verb,KS3,Me ducho por la mañana.,I shower in the morning.,,,ducharse,,
cepillarse los dientes,to brush teeth,ES ,health_lifestyle,healthy_living,verb_phrase,KS3,Cepíllate los dientes dos veces al día.,Brush your teeth twice a day.,,,cepillarse los dientes,,
el estrés,stress,ES ,health_lifestyle,healthy_living,noun,KS3,El estrés no es bueno para ti.,Stress is not good for you.,m,el,estrés,,
la fruta,fruit,ES ,health_lifestyle,healthy_living,noun,KS3,Me encanta la fruta fresca.,I love fresh fruit.,f,la,fruta,,
la verdura,vegetable,ES ,health_lifestyle,healthy_living,noun,KS3,Come más verdura.,Eat more vegetables.,f,la,verdura,,
el agua,water,ES ,health_lifestyle,healthy_living,noun,KS3,Bebo mucha agua.,I drink a lot of water.,f,el,agua,,
el sueño,sleep,ES ,health_lifestyle,healthy_living,noun,KS3,Necesito ocho horas de sueño.,I need eight hours of sleep.,m,el,sueño,,
la higiene personal,personal hygiene,ES ,health_lifestyle,healthy_living,noun,KS3,La higiene personal es importante.,Personal hygiene is important.,f,la,higiene personal,,
la salud mental,mental health,ES ,health_lifestyle,healthy_living,noun,KS3,La salud mental es tan importante como la física.,Mental health is as important as physical.,f,la,salud mental,,
el aire fresco,fresh air,ES ,health_lifestyle,healthy_living,noun,KS3,Me gusta salir a tomar el aire fresco.,I like to go out for some fresh air.,m,el,aire fresco,,
sano/a,healthy,ES ,health_lifestyle,healthy_living,adjective,KS3,Me siento muy sano.,I feel very healthy.,,,sano/a,,
en forma,fit,ES ,health_lifestyle,healthy_living,adjective,KS3,Estoy en forma.,I am fit.,,,en forma,,
boire de l'eau,to drink water,FR,health_lifestyle,healthy_living,verb_phrase,KS3,Il est important de boire de l'eau chaque jour.,It's important to drink water every day.,,,boire de l'eau,,
fumer,to smoke,FR,health_lifestyle,healthy_living,verb,KS3,Fumer est mauvais pour la santé.,Smoking is bad for your health.,,,fumer,,
le repos,rest,FR,health_lifestyle,healthy_living,noun,KS3,J'ai besoin d'un bon repos.,I need a good rest.,m,le,repos,,
manger sainement,to eat healthily,FR,health_lifestyle,healthy_living,verb_phrase,KS3,J'essaie de manger sainement.,I try to eat healthily.,,,manger sainement,,
la malbouffe,junk food,FR,health_lifestyle,healthy_living,noun,KS3,La malbouffe n'est pas bonne.,Junk food is not good.,f,la,malbouffe,,
se détendre,to relax,FR,health_lifestyle,healthy_living,verb,KS3,J'aime me détendre après les cours.,I like to relax after class.,,,se détendre,,
le régime,diet,FR,health_lifestyle,healthy_living,noun,KS3,Je suis un régime équilibré.,I follow a balanced diet.,m,le,régime,,
l'alcool,alcohol,FR,health_lifestyle,healthy_living,noun,KS3,L'alcool est pour les adultes.,Alcohol is for adults.,m,l',alcool,,
le bilan de santé,check-up,FR,health_lifestyle,healthy_living,noun,KS3,J'ai un bilan de santé annuel.,I have an annual check-up.,m,le,bilan de santé,,
l'exercice,exercise,FR,health_lifestyle,healthy_living,noun,KS3,Faire de l'exercice est amusant.,Doing exercise is fun.,m,l',exercice,,
faire de l'exercice,to do exercise,FR,health_lifestyle,healthy_living,verb_phrase,KS3,Je fais de l'exercice trois fois par semaine.,I do exercise three times a week.,,,faire de l'exercice,,
faire du sport,to do sport,FR,health_lifestyle,healthy_living,verb_phrase,KS3,J'aime faire du sport en plein air.,I like to do sport outdoors.,,,faire du sport,,
dormir suffisamment,to sleep enough,FR,health_lifestyle,healthy_living,verb_phrase,KS3,Il est important de dormir suffisamment.,It's important to sleep enough.,,,dormir suffisamment,,
se laver les mains,to wash hands,FR,health_lifestyle,healthy_living,verb_phrase,KS3,Il faut se laver les mains avant de manger.,You have to wash your hands before eating.,,,se laver les mains,,
se doucher,to shower,FR,health_lifestyle,healthy_living,verb,KS3,Je me douche le matin.,I shower in the morning.,,,se doucher,,
se brosser les dents,to brush teeth,FR,health_lifestyle,healthy_living,verb_phrase,KS3,Brosse-toi les dents deux fois par jour.,Brush your teeth twice a day.,,,se brosser les dents,,
le stress,stress,FR,health_lifestyle,healthy_living,noun,KS3,Le stress n'est pas bon pour toi.,Stress is not good for you.,m,le,stress,,
le fruit,fruit,FR,health_lifestyle,healthy_living,noun,KS3,J'adore les fruits frais.,I love fresh fruit.,m,le,fruit,,
le légume,vegetable,FR,health_lifestyle,healthy_living,noun,KS3,Mange plus de légumes.,Eat more vegetables.,m,le,légume,,
l'eau,water,FR,health_lifestyle,healthy_living,noun,KS3,Je bois beaucoup d'eau.,I drink a lot of water.,f,l',eau,,
le sommeil,sleep,FR,health_lifestyle,healthy_living,noun,KS3,J'ai besoin de huit heures de sommeil.,I need eight hours of sleep.,m,le,sommeil,,
l'hygiène personnelle,personal hygiene,FR,health_lifestyle,healthy_living,noun,KS3,L'hygiène personnelle est importante.,Personal hygiene is important.,f,l',hygiène personnelle,,
la santé mentale,mental health,FR,health_lifestyle,healthy_living,noun,KS3,La santé mentale est aussi importante que la physique.,Mental health is as important as physical.,f,la,santé mentale,,
l'air frais,fresh air,FR,health_lifestyle,healthy_living,noun,KS3,J'aime sortir prendre l'air frais.,I like to go out for some fresh air.,m,l',air frais,,
sain(e),healthy,FR,health_lifestyle,healthy_living,adjective,KS3,Je me sens très sain.,I feel very healthy.,,,sain(e),,
en forme,fit,FR,health_lifestyle,healthy_living,adjective,KS3,Je suis en forme.,I am fit.,,,en forme,,
Wasser trinken,to drink water,DE,health_lifestyle,healthy_living,verb_phrase,KS3,"Es ist wichtig, jeden Tag Wasser zu trinken.",It's important to drink water every day.,,,Wasser trinken,,
rauchen,to smoke,DE,health_lifestyle,healthy_living,verb,KS3,Rauchen ist schlecht für die Gesundheit.,Smoking is bad for your health.,,,rauchen,,
die Erholung,rest,DE,health_lifestyle,healthy_living,noun,KS3,Ich brauche eine gute Erholung.,I need a good rest.,f,die,Erholung,,
sich gesund ernähren,to eat healthily,DE,health_lifestyle,healthy_living,verb_phrase,KS3,"Ich versuche, mich gesund zu ernähren.",I try to eat healthily.,,,sich gesund ernähren,,
das Junkfood,junk food,DE,health_lifestyle,healthy_living,noun,KS3,Junkfood ist nicht gut.,Junk food is not good.,n,das,Junkfood,,
sich entspannen,to relax,DE,health_lifestyle,healthy_living,verb,KS3,Ich entspanne mich gerne nach dem Unterricht.,I like to relax after class.,,,sich entspannen,,
die Diät,diet,DE,health_lifestyle,healthy_living,noun,KS3,Ich mache eine ausgewogene Diät.,I follow a balanced diet.,f,die,Diät,,
der Alkohol,alcohol,DE,health_lifestyle,healthy_living,noun,KS3,Alkohol ist für Erwachsene.,Alcohol is for adults.,m,der,Alkohol,,
die Untersuchung,check-up,DE,health_lifestyle,healthy_living,noun,KS3,Ich habe eine jährliche Untersuchung.,I have an annual check-up.,f,die,Untersuchung,,
die Bewegung,exercise,DE,health_lifestyle,healthy_living,noun,KS3,Bewegung macht Spaß.,Doing exercise is fun.,f,die,Bewegung,,
