word,translation,language,category,subcategory,part_of_speech,difficulty_level,curriculum_level,example_sentence,example_translation,phonetic,gender,irregular_forms,synonyms,antonyms,tags,article,base_word,,
hasta pronto,see you soon,es,basics_core_language,greetings_introductions,phrase,beginner,KS3,"Hasta pronto, cuídate.","See you soon, take care.",/ˈasta ˈpɾonto/,,,hasta luego,adiós,farewell;casual,,hasta pronto,,
ciao,bye,es,basics_core_language,greetings_introductions,interjection,beginner,KS3,"Ciao, nos vemos mañana.","Bye, see you tomorrow.",/ˈtʃao/,,,adiós,farewell;informal,,,ciao,,
adiós,goodbye,es,basics_core_language,greetings_introductions,interjection,beginner,KS3,"Adiós, que te vaya bien.","Goodbye, take care.",/aˈðjos/,,,"hola, hasta luego",greeting;farewell;formal,,,adiós,,
por favor,please,es,basics_core_language,common_phrases,phrase,beginner,KS3,"Por favor, ayúdame.","Please, help me.",/poɾ faˈβoɾ/,,,,,polite;request,,por favor,,
gracias,thank you,es,basics_core_language,common_phrases,interjection,beginner,KS3,Muchas gracias por tu ayuda.,Thank you very much for your help.,/ˈɡɾaθjas/,,,muchas gracias,de nada,polite;gratitude,,gracias,,
de nada,you’re welcome,es,basics_core_language,common_phrases,phrase,beginner,KS3,Gracias. – De nada.,Thank you. – You’re welcome.,/de ˈnaða/,,,,,polite;response,,de nada,,
lo siento,I’m sorry,es,basics_core_language,common_phrases,phrase,beginner,KS3,"Lo siento, no fue mi culpa.","I’m sorry, it wasn’t my fault.",/lo ˈsjento/,,,perdón,,apology;polite,,lo siento,,
perdón,sorry/excuse me,es,basics_core_language,common_phrases,interjection,beginner,KS3,"Perdón, no te vi.","Sorry, I didn’t see you.",/perˈðon/,,,disculpa,,apology;polite,,perdón,,
sí,yes,es,basics_core_language,common_phrases,adverb,beginner,KS3,¿Quieres venir? – Sí.,Do you want to come? – Yes.,/si/,,,,no,basic;response,,sí,,
no,no,es,basics_core_language,common_phrases,adverb,beginner,KS3,¿Vas a ir? – No.,Are you going? – No.,/no/,,,,sí,basic;response,,no,,
¿qué tal?,how’s it going?,es,basics_core_language,common_phrases,phrase,beginner,KS3,¡Hola! ¿Qué tal?,Hello! How’s it going?,/ke ˈtal/,,,¿cómo estás?,,conversation;greeting,,qué tal,,
¿qué pasa?,what’s happening?,es,basics_core_language,common_phrases,phrase,beginner,KS3,"¿Hola, qué pasa?","Hello, what’s up?",/ke ˈpasa/,,,,,conversation;informal,,qué pasa,,
por supuesto,of course,es,basics_core_language,common_phrases,phrase,beginner,KS3,¿Puedo ir contigo? – Por supuesto.,Can I go with you? – Of course.,/poɾ suˈpwesto/,,,claro,,confirmation;polite,,por supuesto,,
claro,of course,es,basics_core_language,common_phrases,adverb,beginner,KS3,¿Vienes mañana? – ¡Claro!,Are you coming tomorrow? – Of course!,/ˈklaɾo/,,,por supuesto,,confirmation;casual,,claro,,
no entiendo,I don’t understand,es,basics_core_language,common_phrases,phrase,beginner,KS3,"Lo siento, no entiendo.","Sorry, I don’t understand.",/no enˈtjendo/,,,,,learning;response,,no entiendo,,
no sé,I don’t know,es,basics_core_language,common_phrases,phrase,beginner,KS3,No sé la respuesta.,I don’t know the answer.,/no se/,,,,,learning;response,,no sé,,
¿puede repetir?,can you repeat?,es,basics_core_language,common_phrases,phrase,beginner,KS3,"¿Puede repetir, por favor?","Can you repeat, please?",/ˈpweðe repeˈtiɾ/,,,,,classroom;polite,,puede repetir,,
me gusta,I like,es,basics_core_language,opinions,phrase,beginner,KS3,Me gusta el chocolate.,I like chocolate.,/me ˈɣusta/,,,,no me gusta,opinion;preference,,me gusta,,
no me gusta,I don’t like,es,basics_core_language,opinions,phrase,beginner,KS3,No me gusta el pescado.,I don’t like fish.,/no me ˈɣusta/,,,,me gusta,opinion;preference,,no me gusta,,
me encanta,I love,es,basics_core_language,opinions,phrase,beginner,KS3,Me encanta bailar.,I love dancing.,/me enˈkanta/,,,,odio,opinion;preference,,me encanta,,
odio,I hate,es,basics_core_language,opinions,verb,beginner,KS3,Yo odio las arañas.,I hate spiders.,/ˈoðjo/,,,detesto,amo,opinion;strong,,odio,,
prefiero,I prefer,es,basics_core_language,opinions,verb,beginner,KS3,Prefiero el té al café.,I prefer tea to coffee.,/pɾeˈfjero/,,,,,opinion;choice,,prefiero,,
pienso que,I think that,es,basics_core_language,opinions,phrase,beginner,KS3,Pienso que es una buena idea.,I think that it’s a good idea.,/ˈpjenso ke/,,,creo que,,opinion;thought,,pienso que,,
creo que,I believe that,es,basics_core_language,opinions,phrase,beginner,KS3,Creo que tienes razón.,I believe you are right.,/ˈkɾeo ke/,,,pienso que,,opinion;belief,,creo que,,
en mi opinión,in my opinion,es,basics_core_language,opinions,phrase,beginner,KS3,"En mi opinión, es mejor así.","In my opinion, it’s better this way.",/en mi oˈpinjon/,,,,,opinion;personal,,en mi opinión,,
me parece,I think/it seems,es,basics_core_language,opinions,phrase,beginner,KS3,Me parece una buena película.,I think it’s a good film.,/me paˈɾeθe/,,,,,opinion;assessment,,me parece,,
uno,one,es,basics_core_language,numbers,numeral,beginner,KS3,Tengo un hermano.,I have one brother.,/ˈuno/,,,,,number;basic,,uno,,
dos,two,es,basics_core_language,numbers,numeral,beginner,KS3,Quiero dos manzanas.,I want two apples.,/dos/,,,,,number;basic,,dos,,
tres,three,es,basics_core_language,numbers,numeral,beginner,KS3,Vivo en el piso tres.,I live on the third floor.,/tɾes/,,,,,number;basic,,tres,,
cuatro,four,es,basics_core_language,numbers,numeral,beginner,KS3,Tengo cuatro libros.,I have four books.,/ˈkwatɾo/,,,,,number;basic,,cuatro,,
cinco,five,es,basics_core_language,numbers,numeral,beginner,KS3,La clase empieza a las cinco.,Class starts at five.,/ˈθiŋko/,,,,,number;basic,,cinco,,
seis,six,es,basics_core_language,numbers,numeral,beginner,KS3,El tren llega a las seis.,The train arrives at six.,/sejs/,,,,,number;basic,,seis,,
siete,seven,es,basics_core_language,numbers,numeral,beginner,KS3,Hay siete estudiantes en clase.,There are seven students in class.,/ˈsjete/,,,,,number;basic,,siete,,
ocho,eight,es,basics_core_language,numbers,numeral,beginner,KS3,Trabajo ocho horas al día.,I work eight hours a day.,/ˈotʃo/,,,,,number;basic,,ocho,,
nueve,nine,es,basics_core_language,numbers,numeral,beginner,KS3,La tienda abre a las nueve.,The shop opens at nine.,/ˈnweβe/,,,,,number;basic,,nueve,,
diez,ten,es,basics_core_language,numbers,numeral,beginner,KS3,Diez personas vinieron.,Ten people came.,/djeθ/,,,,,number;basic,,diez,,
once,eleven,es,basics_core_language,numbers,numeral,beginner,KS3,Hay once mesas en el restaurante.,There are eleven tables in the restaurant.,/ˈonθe/,,,,,number;basic,,once,,
doce,twelve,es,basics_core_language,numbers,numeral,beginner,KS3,La película empieza a las doce.,The film starts at twelve.,/ˈdoθe/,,,,,number;basic,,doce,,
trece,thirteen,es,basics_core_language,numbers,numeral,beginner,KS3,Trece estudiantes aprobaron el examen.,Thirteen students passed the exam.,/ˈtɾeθe/,,,,,number;basic,,trece,,
catorce,fourteen,es,basics_core_language,numbers,numeral,beginner,KS3,Hay catorce ventanas en la casa.,There are fourteen windows in the house.,/kaˈtoɾθe/,,,,,number;basic,,catorce,,
quince,fifteen,es,basics_core_language,numbers,numeral,beginner,KS3,Quince minutos son un cuarto de hora.,Fifteen minutes is a quarter of an hour.,/ˈkinθe/,,,,,number;basic,,quince,,
dieciséis,sixteen,es,basics_core_language,numbers,numeral,beginner,KS3,Mi primo tiene dieciséis años.,My cousin is sixteen years old.,/djeθiˈsejs/,,,,,number;basic,,dieciséis,,
diecisiete,seventeen,es,basics_core_language,numbers,numeral,beginner,KS3,El hotel tiene diecisiete habitaciones.,The hotel has seventeen rooms.,/djeθiˈsjete/,,,,,number;basic,,diecisiete,,
dieciocho,eighteen,es,basics_core_language,numbers,numeral,beginner,KS3,Cumplí dieciocho años en mayo.,I turned eighteen in May.,/djeθiˈotʃo/,,,,,number;basic,,dieciocho,,
diecinueve,nineteen,es,basics_core_language,numbers,numeral,beginner,KS3,El avión sale a las diecinueve horas.,The plane departs at nineteen hundred hours.,/djeθiˈnweβe/,,,,,number;basic,,diecinueve,,
veinte,twenty,es,basics_core_language,numbers,numeral,beginner,KS3,Hay veinte alumnos en clase.,There are twenty students in class.,/ˈbejnte/,,,,,number;basic,,veinte,,
veintiuno,twenty-one,es,basics_core_language,numbers,numeral,beginner,KS3,Tengo veintiún años.,I am twenty-one years old.,/ˌbejn.tjuˈno/,,,,,number;basic,,veintiuno,,
veintidós,twenty-two,es,basics_core_language,numbers,numeral,beginner,KS3,La tienda abre a las veintidós horas.,The shop opens at 22:00.,/ˌbejn.tiˈdos/,,,,,number;basic,,veintidós,,
veintitrés,twenty-three,es,basics_core_language,numbers,numeral,beginner,KS3,Hay veintitrés coches en el aparcamiento.,There are twenty-three cars in the car park.,/ˌbejn.tiˈtɾes/,,,,,number;basic,,veintitrés,,
veinticuatro,twenty-four,es,basics_core_language,numbers,numeral,beginner,KS3,Estudio veinticuatro temas este año.,I study twenty-four topics this year.,/ˌbejn.tiˈkwatɾo/,,,,,number;basic,,veinticuatro,,
veinticinco,twenty-five,es,basics_core_language,numbers,numeral,beginner,KS3,La clase tiene veinticinco alumnos.,The class has twenty-five students.,/ˌbejn.tiˈθiŋko/,,,,,number;basic,,veinticinco,,
veintiséis,twenty-six,es,basics_core_language,numbers,numeral,beginner,KS3,Trabajo veintiséis horas a la semana.,I work twenty-six hours a week.,/ˌbejn.tiˈsejs/,,,,,number;basic,,veintiséis,,
veintisiete,twenty-seven,es,basics_core_language,numbers,numeral,beginner,KS3,Hay veintisiete estudiantes en clase.,There are twenty-seven students in class.,/ˌbejn.tiˈsjete/,,,,,number;basic,,veintisiete,,
veintiocho,twenty-eight,es,basics_core_language,numbers,numeral,beginner,KS3,Vivo en el piso veintiocho.,I live on the twenty-eighth floor.,/ˌbejn.tiˈotʃo/,,,,,number;basic,,veintiocho,,
veintinueve,twenty-nine,es,basics_core_language,numbers,numeral,beginner,KS3,Hay veintinueve libros en la mesa.,There are twenty-nine books on the table.,/ˌbejn.tiˈnweβe/,,,,,number;basic,,veintinueve,,
treinta,thirty,es,basics_core_language,numbers,numeral,beginner,KS3,La reunión es a las treinta horas.,The meeting is at 30:00.,/ˈtɾejnta/,,,,,number;basic,,treinta,,
treinta y uno,thirty-one,es,basics_core_language,numbers,numeral,beginner,KS3,Hay treinta y un días en enero.,There are thirty-one days in January.,/ˌtɾejnta i ˈuno/,,,,,number;basic,,treinta y uno,,
treinta y dos,thirty-two,es,basics_core_language,numbers,numeral,beginner,KS3,El autobús llega a las treinta y dos horas.,The bus arrives at 32:00.,/ˌtɾejnta i ˈdos/,,,,,number;basic,,treinta y dos,,
treinta y tres,thirty-three,es,basics_core_language,numbers,numeral,beginner,KS3,Tengo treinta y tres años.,I am thirty-three years old.,/ˌtɾejnta i ˈtɾes/,,,,,number;basic,,treinta y tres,,
treinta y cuatro,thirty-four,es,basics_core_language,numbers,numeral,beginner,KS3,La caja pesa treinta y cuatro kilos.,The box weighs thirty-four kilos.,/ˌtɾejnta i ˈkwatɾo/,,,,,number;basic,,treinta y cuatro,,
treinta y cinco,thirty-five,es,basics_core_language,numbers,numeral,beginner,KS3,Hay treinta y cinco personas en la sala.,There are thirty-five people in the room.,/ˌtɾejnta i ˈθiŋko/,,,,,number;basic,,treinta y cinco,,
treinta y seis,thirty-six,es,basics_core_language,numbers,numeral,beginner,KS3,La clase tiene treinta y seis alumnos.,The class has thirty-six students.,/ˌtɾejnta i ˈsejs/,,,,,number;basic,,treinta y seis,,
treinta y siete,thirty-seven,es,basics_core_language,numbers,numeral,beginner,KS3,Estudio treinta y siete palabras nuevas.,I study thirty-seven new words.,/ˌtɾejnta i ˈsjete/,,,,,number;basic,,treinta y siete,,
treinta y ocho,thirty-eight,es,basics_core_language,numbers,numeral,beginner,KS3,Trabajo treinta y ocho horas al mes.,I work thirty-eight hours a month.,/ˌtɾejnta i ˈotʃo/,,,,,number;basic,,treinta y ocho,,
treinta y nueve,thirty-nine,es,basics_core_language,numbers,numeral,beginner,KS3,El hotel tiene treinta y nueve habitaciones.,The hotel has thirty-nine rooms.,/ˌtɾejnta i ˈnweβe/,,,,,number;basic,,treinta y nueve,,
cuarenta,forty,es,basics_core_language,numbers,numeral,beginner,KS3,Hay cuarenta estudiantes en el curso.,There are forty students in the course.,/kwaˈɾenta/,,,,,number;basic,,cuarenta,,
cuarenta y uno,forty-one,es,basics_core_language,numbers,numeral,beginner,KS3,Hay cuarenta y un asientos.,There are forty-one seats.,/kwaˈɾenta i ˈuno/,,,,,number;basic,,cuarenta y uno,,
cuarenta y dos,forty-two,es,basics_core_language,numbers,numeral,beginner,KS3,Compré cuarenta y dos manzanas.,I bought forty-two apples.,/kwaˈɾenta i ˈdos/,,,,,number;basic,,cuarenta y dos,,
cuarenta y tres,forty-three,es,basics_core_language,numbers,numeral,beginner,KS3,El número es cuarenta y tres.,The number is forty-three.,/kwaˈɾenta i ˈtɾes/,,,,,number;basic,,cuarenta y tres,,
cuarenta y cuatro,forty-four,es,basics_core_language,numbers,numeral,beginner,KS3,Hay cuarenta y cuatro casas en la calle.,There are forty-four houses on the street.,/kwaˈɾenta i ˈkwatɾo/,,,,,number;basic,,cuarenta y cuatro,,
cuarenta y cinco,forty-five,es,basics_core_language,numbers,numeral,beginner,KS3,La reunión empieza a las cuarenta y cinco.,The meeting starts at forty-five.,/kwaˈɾenta i ˈθiŋko/,,,,,number;basic,,cuarenta y cinco,,
cuarenta y seis,forty-six,es,basics_core_language,numbers,numeral,beginner,KS3,El edificio tiene cuarenta y seis pisos.,The building has forty-six floors.,/kwaˈɾenta i ˈsejs/,,,,,number;basic,,cuarenta y seis,,
cuarenta y siete,forty-seven,es,basics_core_language,numbers,numeral,beginner,KS3,Cuarenta y siete personas llegaron tarde.,Forty-seven people arrived late.,/kwaˈɾenta i ˈsjete/,,,,,number;basic,,cuarenta y siete,,
cuarenta y ocho,forty-eight,es,basics_core_language,numbers,numeral,beginner,KS3,La película dura cuarenta y ocho minutos.,The movie lasts forty-eight minutes.,/kwaˈɾenta i ˈotʃo/,,,,,number;basic,,cuarenta y ocho,,
cuarenta y nueve,forty-nine,es,basics_core_language,numbers,numeral,beginner,KS3,Quedan cuarenta y nueve entradas.,There are forty-nine tickets left.,/kwaˈɾenta i ˈnweβe/,,,,,number;basic,,cuarenta y nueve,,
cincuenta,fifty,es,basics_core_language,numbers,numeral,beginner,KS3,El autobús cuesta cincuenta euros.,The bus costs fifty euros.,/θiŋˈkwenta/,,,,,number;basic,,cincuenta,,
sesenta,sixty,es,basics_core_language,numbers,numeral,beginner,KS3,Hay sesenta personas en la clase.,There are sixty people in the class.,/seˈsenta/,,,,,number;basic,,sesenta      ,,
setenta,seventy,es,basics_core_language,numbers,numeral,beginner,KS3,El tren sale a las setenta horas.,The train leaves at seventy hours.,/seˈtenta/,,,,,number;basic,,setenta,,
ochenta,eighty,es,basics_core_language,numbers,numeral,beginner,KS3,La tienda abre a las ochenta horas.,The shop opens at eighty hours.,/oˈtʃenta/,,,,,number;basic,,ochenta,,
noventa,ninety,es,basics_core_language,numbers,numeral,beginner,KS3,Hay noventa alumnos en la escuela.,There are ninety students in the school.,/noˈβenta/,,,,,number;basic,,noventa,,
cien,one hundred,es,basics_core_language,numbers,numeral,beginner,KS3,Tengo cien euros.,I have one hundred euros.,/sjɛn/,,,,,number;basic,,cien,,
lunes,Monday,es,basics_core_language,dates_time,noun,beginner,KS3,El lunes tengo clase.,I have class on Monday.,/ˈlunes/,m,,,,day;date,el,lunes,,
martes,Tuesday,es,basics_core_language,dates_time,noun,beginner,KS3,El martes voy al médico.,I go to the doctor on Tuesday.,/ˈmartes/,m,,,,day;date,el,martes,,
miércoles,Wednesday,es,basics_core_language,dates_time,noun,beginner,KS3,El miércoles estudio español.,I study Spanish on Wednesday.,/ˈmjɛɾkoles/,m,,,,day;date,el,miércoles,,
jueves,Thursday,es,basics_core_language,dates_time,noun,beginner,KS3,El jueves juego al fútbol.,I play football on Thursday.,/ˈxweβes/,m,,,,day;date,el,jueves,,
viernes,Friday,es,basics_core_language,dates_time,noun,beginner,KS3,El viernes salgo con amigos.,I go out with friends on Friday.,/ˈbjernes/,m,,,,day;date,el,viernes,,
sábado,Saturday,es,basics_core_language,dates_time,noun,beginner,KS3,El sábado descanso.,I rest on Saturday.,/ˈsaβado/,m,,,,day;date,el,sábado,,
domingo,Sunday,es,basics_core_language,dates_time,noun,beginner,KS3,El domingo visito a mi familia.,I visit my family on Sunday.,/doˈmiŋgo/,m,,,,day;date,el,domingo,,
enero,January,es,basics_core_language,dates_time,noun,beginner,KS3,Mi cumpleaños es en enero.,My birthday is in January.,/eˈneɾo/,m,,,,month;date,el,enero,,
febrero,February,es,basics_core_language,dates_time,noun,beginner,KS3,Febrero es el mes más corto.,February is the shortest month.,/feˈβɾeɾo/,m,,,,month;date,el,febrero,,
marzo,March,es,basics_core_language,dates_time,noun,beginner,KS3,La primavera empieza en marzo.,Spring begins in March.,/ˈmaɾθo/,m,,,,month;date,el,marzo,,
abril,April,es,basics_core_language,dates_time,noun,beginner,KS3,Abril es un mes lluvioso.,April is a rainy month.,/aˈβɾil/,m,,,,month;date,el,abril,,
mayo,May,es,basics_core_language,dates_time,noun,beginner,KS3,En mayo hay flores.,There are flowers in May.,/ˈmaʝo/,m,,,,month;date,el,mayo,,
junio,June,es,basics_core_language,dates_time,noun,beginner,KS3,Las vacaciones empiezan en junio.,Holidays start in June.,/ˈxunjo/,m,,,,month;date,el,junio,,
julio,July,es,basics_core_language,dates_time,noun,beginner,KS3,Julio es un mes caluroso.,July is a hot month.,/ˈxuljo/,m,,,,month;date,el,julio,,
agosto,August,es,basics_core_language,dates_time,noun,beginner,KS3,En agosto hace calor.,It is hot in August.,/aˈɣosto/,m,,,,month;date,el,agosto,,
septiembre,September,es,basics_core_language,dates_time,noun,beginner,KS3,La escuela empieza en septiembre.,School starts in September.,/sepˈtjembre/,m,,,,month;date,el,septiembre,,
octubre,October,es,basics_core_language,dates_time,noun,beginner,KS3,Octubre es el mes de Halloween.,October is the month of Halloween.,/okˈtuβɾe/,m,,,,month;date,el,octubre,,
noviembre,November,es,basics_core_language,dates_time,noun,beginner,KS3,Noviembre es un mes frío.,November is a cold month.,/noˈβjembre/,m,,,,month;date,el,noviembre,,
diciembre,December,es,basics_core_language,dates_time,noun,beginner,KS3,En diciembre celebramos la Navidad.,We celebrate Christmas in December.,/diˈθjembre/,m,,,,month;date,el,diciembre,,
hora,hour,es,basics_core_language,dates_time,noun,beginner,KS3,¿Qué hora es?,What time is it?,/ˈoɾa/,f,,,,time;clock,la,hora,,
minuto,minute,es,basics_core_language,dates_time,noun,beginner,KS3,Faltan cinco minutos.,Five minutes left.,/miˈnuto/,m,,,,time;clock,el,minuto,,
segundo,second,es,basics_core_language,dates_time,noun,beginner,KS3,Un segundo, por favor.,One second, please.,/seˈɣundo/,m,,,,time;clock,el,segundo
tiempo,time,es,basics_core_language,dates_time,noun,beginner,KS3,No tengo tiempo.,I don't have time.,/ˈtjempo/,m,,,,time;general,el,tiempo,,
fecha,date,es,basics_core_language,dates_time,noun,beginner,KS3,¿Cuál es la fecha de hoy?,What is today's date?,/ˈfetʃa/,f,,,,date;calendar,la,fecha,,
mañana,morning/tomorrow,es,basics_core_language,dates_time,noun,beginner,KS3,Mañana voy al cine.,I'm going to the cinema tomorrow.,/maˈɲana/,f,,,,time;day,la,mañana,,
tarde,afternoon/evening,es,basics_core_language,dates_time,noun,beginner,KS3,Trabajo por la tarde.,I work in the afternoon.,/ˈtaɾðe/,f,,,,time;day,la,tarde,,
noche,night,es,basics_core_language,dates_time,noun,beginner,KS3,Estudio por la noche.,I study at night.,/ˈnotʃe/,f,,,,time;day,la,noche,,
ahora,now,es,basics_core_language,dates_time,adverb,beginner,KS3,Ahora es el momento.,Now is the time.,/aˈoɾa/,,,,time;adverb,,ahora,,,
siempre,always,es,basics_core_language,dates_time,adverb,beginner,KS3,Siempre estudio por la noche.,I always study at night.,/ˈsjempɾe/,,,,time;adverb,,siempre,,,
nunca,never,es,basics_core_language,dates_time,adverb,beginner,KS3,Nunca llego tarde.,I never arrive late.,/ˈnuŋka/,,,,time;adverb,,nunca,,,
pronto,soon,es,basics_core_language,dates_time,adverb,beginner,KS3,Llego pronto a clase.,I arrive early to class.,/ˈpɾonto/,,,,time;adverb,,pronto,,,
tarde,late,es,basics_core_language,dates_time,adverb,beginner,KS3,Llego tarde.,I arrive late.,/ˈtaɾðe/,,,,time;adverb,,tarde,,,
rojo,red,es,basics_core_language,colours,adjective,beginner,KS3,El coche es rojo.,The car is red.,/ˈroxo/,m,,,,colour,,rojo,,
azul,blue,es,basics_core_language,colours,adjective,beginner,KS3,El cielo es azul.,The sky is blue.,/aˈθul/,,,,colour,,azul,,,
verde,green,es,basics_core_language,colours,adjective,beginner,KS3,La hierba es verde.,The grass is green.,/ˈbeɾðe/,,,,colour,,verde,,,
amarillo,yellow,es,basics_core_language,colours,adjective,beginner,KS3,El sol es amarillo.,The sun is yellow.,/amaˈɾiʎo/,m,,,,colour,,amarillo,,
negro,black,es,basics_core_language,colours,adjective,beginner,KS3,El gato es negro.,The cat is black.,/ˈneɣɾo/,m,,,,colour,,negro,,
blanco,white,es,basics_core_language,colours,adjective,beginner,KS3,El papel es blanco.,The paper is white.,/ˈblaŋko/,m,,,,colour,,blanco,,
naranja,orange,es,basics_core_language,colours,adjective,beginner,KS3,La naranja es naranja.,The orange is orange.,/naˈɾaŋxa/,,,,colour,,naranja,,,
marrón,brown,es,basics_core_language,colours,adjective,beginner,KS3,El oso es marrón.,The bear is brown.,/maˈron/,,,,colour,,marrón,,,
gris,grey,es,basics_core_language,colours,adjective,beginner,KS3,El elefante es gris.,The elephant is grey.,/ɡɾis/,,,,colour,,gris,,,
rosa,pink,es,basics_core_language,colours,adjective,beginner,KS3,La flor es rosa.,The flower is pink.,/ˈrosa/,,,,colour,,rosa,,,
violeta,violet,es,basics_core_language,colours,adjective,beginner,KS3,La camisa es violeta.,The shirt is violet.,/bjoˈleta/,,,,colour,,violeta,,,
día,day,es,basics_core_language,days,noun,beginner,KS3,Hoy es un buen día.,Today is a good day.,/ˈdia/,m,,,,calendar;day,el,día,,
semana,week,es,basics_core_language,days,noun,beginner,KS3,La semana tiene siete días.,The week has seven days.,/seˈmana/,f,,,,calendar;week,la,semana,,
lunes,Monday,es,basics_core_language,days,noun,beginner,KS3,El lunes empiezo el trabajo.,I start work on Monday.,/ˈlunes/,m,,,,day;calendar,el,lunes,,
martes,Tuesday,es,basics_core_language,days,noun,beginner,KS3,El martes tengo una cita.,I have an appointment on Tuesday.,/ˈmartes/,m,,,,day;calendar,el,martes,,
miércoles,Wednesday,es,basics_core_language,days,noun,beginner,KS3,El miércoles estudio matemáticas.,I study mathematics on Wednesday.,/ˈmjɛɾkoles/,m,,,,day;calendar,el,miércoles,,
jueves,Thursday,es,basics_core_language,days,noun,beginner,KS3,El jueves voy al gimnasio.,I go to the gym on Thursday.,/ˈxweβes/,m,,,,day;calendar,el,jueves,,
viernes,Friday,es,basics_core_language,days,noun,beginner,KS3,El viernes salgo con amigos.,I go out with friends on Friday.,/ˈbjernes/,m,,,,day;calendar,el,viernes,,
sábado,Saturday,es,basics_core_language,days,noun,beginner,KS3,El sábado descanso.,I rest on Saturday.,/ˈsaβado/,m,,,,day;calendar,el,sábado,,
domingo,Sunday,es,basics_core_language,days,noun,beginner,KS3,El domingo visito a mi familia.,I visit my family on Sunday.,/doˈmiŋgo/,m,,,,day;calendar,el,domingo,,
enero,January,es,basics_core_language,months,noun,beginner,KS3,Mi cumpleaños es en enero.,My birthday is in January.,/eˈneɾo/,m,,,,month;calendar,el,enero,,
febrero,February,es,basics_core_language,months,noun,beginner,KS3,Febrero es el mes más corto.,February is the shortest month.,/feˈβɾeɾo/,m,,,,month;calendar,el,febrero,,
marzo,March,es,basics_core_language,months,noun,beginner,KS3,La primavera empieza en marzo.,Spring begins in March.,/ˈmaɾθo/,m,,,,month;calendar,el,marzo,,
abril,April,es,basics_core_language,months,noun,beginner,KS3,Abril es un mes lluvioso.,April is a rainy month.,/aˈβɾil/,m,,,,month;calendar,el,abril,,
mayo,May,es,basics_core_language,months,noun,beginner,KS3,En mayo hay flores.,There are flowers in May.,/ˈmaʝo/,m,,,,month;calendar,el,mayo,,
junio,June,es,basics_core_language,months,noun,beginner,KS3,Las vacaciones empiezan en junio.,Holidays start in June.,/ˈxunjo/,m,,,,month;calendar,el,junio,,
julio,July,es,basics_core_language,months,noun,beginner,KS3,Julio es un mes caluroso.,July is a hot month.,/ˈxuljo/,m,,,,month;calendar,el,julio,,
agosto,August,es,basics_core_language,months,noun,beginner,KS3,En agosto hace calor.,It is hot in August.,/aˈɣosto/,m,,,,month;calendar,el,agosto,,
septiembre,September,es,basics_core_language,months,noun,beginner,KS3,La escuela empieza en septiembre.,School starts in September.,/sepˈtjembre/,m,,,,month;calendar,el,septiembre,,
octubre,October,es,basics_core_language,months,noun,beginner,KS3,Octubre es el mes de Halloween.,October is the month of Halloween.,/okˈtuβɾe/,m,,,,month;calendar,el,octubre,,
noviembre,November,es,basics_core_language,months,noun,beginner,KS3,Noviembre es un mes frío.,November is a cold month.,/noˈβjembre/,m,,,,month;calendar,el,noviembre,,
