language,part_of_speech,word,translation,word_type,gender,article,display_word,example_sentence,example_translation,exam_board_code,theme_name,unit_name,tier,is_required,curriculum_level
es,n (m),el papel,"paper, role, part",,,el,el papel,Escribo en papel todos los días.,I write on paper every day.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,continuar,(to) continue |continuing,,,,continuar,Debes continuar estudiando para mejorar.,You should keep studying to improve.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la experiencia,experience,,,la,la experiencia,Mi experiencia en el trabajo fue buena.,My work experience was good.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la escuela,(primary) school,,,la,la escuela,Voy a la escuela todos los días.,I go to school every day.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,aprender,(to) learn | learning,,,,aprender,Quiero aprender a bailar salsa.,I want to learn to dance salsa.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,aceptar,(to) accept | accepting,,,,aceptar,Mi amigo aceptó la invitación.,My friend accepted the invitation.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el sueño,"dream, sleep",,,el,el sueño,Mi sueño es viajar por el mundo.,My dream is to travel around the world.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la carrera,"career, (university) degree course, race",,,la,la carrera,Estudio medicina para mi carrera universitaria.,I study medicine for my university degree.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el mercado,market,,,el,el mercado,Voy al mercado a comprar frutas frescas.,I go to the market to buy fresh fruit.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la educación,education,,,la,la educación,La educación es importante para el futuro.,Education is important for the future.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),profesor,teacher,,,,profesor,Mi profesor de historia es muy amable.,My history teacher is very kind.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el resultado,result,,,el,el resultado,El resultado del examen fue bueno.,The exam result was good.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el autor,"writer, author",,,el,el autor,El autor escribió un libro interesante.,The author wrote an interesting book.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el viaje,"trip, journey",,,el,el viaje,El viaje a la playa fue divertido.,The trip to the beach was fun.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la mesa,table,,,la,la mesa,La mesa está en la sala de clases.,The table is in the classroom.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,vender,(to) sell |selling,,,,vender,Voy a vender mis libros usados.,I am going to sell my used books.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el miembro,member,,,el,el miembro,Soy miembro del club de teatro.,I am a member of the theater club.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la película,"film, movie",,,la,la película,Vimos una película muy divertida.,We watched a very funny movie.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),compañero,"classmate, group member, colleague, companion",,,,compañero,Mi compañero de clase es muy simpático.,My classmate is very nice.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la oportunidad,"opportunity, chance",,,la,la oportunidad,Tuve la oportunidad de viajar a España.,I had the chance to travel to Spain.,AQA,People and lifestyle,Education and work,both,,KS4
es,adj,inglés,English,,,,inglés,Estudio inglés en la escuela.,I study English at school.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la lengua,"tongue, language",,,la,la lengua,La lengua española es muy bonita.,The Spanish language is very beautiful.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,mandar,"(to) send, order | sending, ordering",,,,mandar,Voy a mandar una carta a mi amigo.,I am going to send a letter to my friend.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),director,"headteacher, director, manager",,,,director,El director de la escuela es muy estricto.,The school principal is very strict.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,participar,(to) participate | participating,,,,participar,Quiero participar en el concurso de canto.,I want to participate in the singing contest.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la página,page,,,la,la página,La página del libro es muy interesante.,The page of the book is very interesting.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el esfuerzo,effort,,,el,el esfuerzo,Necesito más esfuerzo para aprender.,I need more effort to learn.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el teatro,"theatre, drama",,,el,el teatro,Vamos al teatro este fin de semana.,We are going to the theater this weekend.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,construir,(to) build |building,,,,construir,Voy a construir una casa pequeña.,I am going to build a small house.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,enseñar,"(to) teach, show| teaching, showing",,,,enseñar,Mi profesora enseña matemáticas bien.,My teacher teaches math well.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la carta,"letter, menu",,,la,la carta,Escribí una carta a mi abuela.,I wrote a letter to my grandmother.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el colegio,(secondary) school,,,el,el colegio,El colegio empieza a las ocho de la mañana.,School starts at eight in the morning.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),policía,"police, police officer (m)",,,,policía,La policía ayuda a mantener la seguridad.,The police help keep us safe.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la compañía,company,,,la,la compañía,Trabajo en una compañía de tecnología.,I work at a technology company.,AQA,People and lifestyle,Education and work,both,,KS4
es,adj,responsable,responsible,,,,responsable,Soy responsable de mis tareas escolares.,I am responsible for my school tasks.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la prueba,"test, trial, proof",,,la,la prueba,Tengo una prueba de matemáticas mañana.,I have a math test tomorrow.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,apoyar,(to) support | supporting,,,,apoyar,Mi amigo me apoya en los problemas.,My friend supports me in problems.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el negocio,business,,,el,el negocio,Mi padre tiene un negocio pequeño.,My father has a small business.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,gritar,(to) shout | shouting,,,,gritar,No debes gritar en clase.,You should not shout in class.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),médico,doctor,,,,médico,El médico ayuda a los pacientes enfermos.,The doctor helps sick patients.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,enviar,(to) send | sending,,,,enviar,Voy a enviar un paquete hoy.,I am going to send a package today.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),modelo,model,,,,modelo,Ella es un modelo famoso.,She is a famous model.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el éxito,success,,,el,el éxito,El éxito requiere mucho esfuerzo.,Success requires a lot of effort.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,cantar,(to) sing | singing,,,,cantar,Me gusta cantar en el karaoke.,I like to sing at karaoke.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la suerte,"luck, fortune",,,la,la suerte,Tuve suerte en el examen.,I was lucky on the exam.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la ventana,window,,,la,la ventana,Abre la ventana para más aire.,Open the window for more air.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),jefe,"boss, manager, leader",,,,jefe,Mi jefe es muy amable.,My boss is very kind.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el banco,"(financial) bank, bench",,,el,el banco,Voy al banco a sacar dinero.,I go to the bank to withdraw money.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la novela,novel,,,la,la novela,Estoy leyendo una novela interesante.,I am reading an interesting novel.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la ciencias,science(s),,,la,la ciencias,Las ciencias me fascinan mucho.,I am very fascinated by sciences.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la red,"network (Internet), net (fishing)",,,la,la red (Red),Uso la red para investigar temas.,I use the internet to research topics.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la economía,"economy, economics",,,la,la economía,Estudio economía en la universidad.,I study economics at university.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el extranjero,"abroad, foreigner (m)",,,el,el extranjero,Quiero vivir en el extranjero algún día.,I want to live abroad someday.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la ropa,"clothes, clothing",,,la,la ropa,Compra ropa nueva para la fiesta.,She buys new clothes for the party.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),estudiante,student,,,,estudiante,Soy un estudiante de segundo año.,I am a second-year student.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),artista,"artist, performer",,,,artista,Mi hermana es una artista talentosa.,My sister is a talented artist.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el apoyo,"support, backing",,,el,el apoyo,Necesito tu apoyo en el proyecto.,I need your support on the project.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,mejorar,"(to) improve, make better | improving, making better",,,,mejorar,Quiero mejorar mis habilidades en español.,I want to improve my Spanish skills.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el edificio,building,,,el,el edificio,El edificio nuevo es muy alto.,The new building is very tall.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el alumno,"student, pupil",,,el,el alumno,El alumno estudia en la escuela local.,The student studies at the local school.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),escritor,writer,,,,escritor,Mi tío es un escritor famoso.,My uncle is a famous writer.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el error,"error, mistake",,,el,el error,Cometí un error en el examen.,I made a mistake on the exam.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,viajar,(to) travel | travelling,,,,viajar,Me gusta viajar en verano.,I like to travel in summer.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el ejército,army,,,el,el ejército,Su hermano está en el ejército.,His brother is in the army.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el consejo,(piece of) advice,,,el,el consejo,Gracias por tu buen consejo.,Thank you for your good advice.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la revista,magazine,,,la,la revista,Leo la revista cada semana.,I read the magazine every week.,AQA,People and lifestyle,Education and work,both,,KS4
es,adj,trabajador,hardworking,,,,trabajador,Soy muy trabajador en la escuela.,I am very hardworking at school.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la conversación,conversation,,,la,la conversación,Tuvimos una buena conversación.,We had a good conversation.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la tarea,"task, chore, homework",,,la,la tarea,Tengo que hacer mi tarea ahora.,I have to do my homework now.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la industria,industry,,,la,la industria,La industria del turismo es importante.,The tourism industry is important.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el periódico,newspaper,,,el,el periódico,Leo el periódico cada mañana.,I read the newspaper every morning.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la frase,"phrase, sentence",,,la,la frase,Esa frase es muy interesante.,That sentence is very interesting.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la tecnología,technology,,,la,la tecnología,La tecnología avanza rápidamente.,Technology advances rapidly.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el hospital,hospital,,,el,el hospital,Mi abuela está en el hospital.,My grandmother is in the hospital.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,organizar,(to) organise | organising,,,,organizar,Voy a organizar la fiesta.,I am going to organize the party.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),cliente,"client, customer",,,,cliente,El cliente está satisfecho.,The customer is satisfied.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la oficina,office,,,la,la oficina,Trabajo en una oficina grande.,I work in a big office.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la caja,"box, till (in shop)",,,la,la caja,La caja está en la tienda.,The box is in the store.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el premio,"prize, reward, award",,,el,el premio,Recibió un premio por su trabajo.,He received a prize for his work.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el respeto,"respect, regard",,,el,el respeto,Es importante mostrar respeto.,It is important to show respect.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el museo,museum,,,el,el museo,Visitamos el museo ayer.,We visited the museum yesterday.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la presión,pressure,,,la,la presión,Siento mucha presión en los exámenes.,I feel a lot of pressure during exams.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la nota,"grade, note, mark",,,la,la nota,Mi nota en historia fue buena.,My grade in history was good.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el septiembre,September,,,el,el septiembre,Empiezo la escuela en septiembre.,I start school in September.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el idioma,language,,,el,el idioma,Estudio un nuevo idioma.,I am studying a new language.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la opción,"option, choice",,,la,la opción,Tienes muchas opciones disponibles.,You have many options available.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la lista,"list, (school) register",,,la,la lista,Hice una lista de compras.,I made a shopping list.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,respetar,(to) respect I respecting,,,,respetar,Es importante respetar a los demás.,It is important to respect others.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el patio,"yard, playground",,,el,el patio,Los niños juegan en el patio.,The children play in the yard.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),abogado,lawyer,,,,abogado,Mi padre es un abogado famoso.,My father is a famous lawyer.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),periodista,journalist,,,,periodista,La periodista escribe noticias.,The journalist writes news articles.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el dueño,"owner, landlord (m)",,,el,el dueño,El dueño del restaurante es amable.,The restaurant owner is kind.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,aprobar,(to) pass (test) I passing (test),,,,aprobar,Quiero aprobar el examen final.,I want to pass the final exam.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,soñar,(to) dream I dreaming,,,,soñar,Sueño con viajar por el mundo.,I dream of traveling around the world.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la silla,"chair, seat",,,la,la silla,La silla es muy cómoda.,The chair is very comfortable.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,comunicar,(to) communicate  I  communicating,,,,comunicar,Es importante comunicar bien.,It is important to communicate well.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),secretario,secretary,,,,secretario,El secretario organiza las reuniones.,The secretary organizes the meetings.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,pintar; pintarse,(to) paint I painting; (to) put on makeup | putting on makeup,,,,pintar; pintarse,Me gusta pintar y pintarme.,I like to paint and put on makeup.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la regla,"rule, ruler",,,la,la regla,Usa la regla para dibujar.,Use the ruler to draw.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el barco,"boat, ship",,,el,el barco,Vimos un barco en el puerto.,We saw a ship at the port.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la confianza,"confidence, trust",,,la,la confianza,Confío en mis amigos.,I trust my friends.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el avión,"plane, aeroplane",,,el,el avión,El avión llega a las diez.,The plane arrives at ten.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la moda; de moda,"fashion; in fashion, fashionable",,,la,la moda; de moda,La moda cambia cada temporada.,Fashion changes each season.,AQA,People and lifestyle,Education and work,both,,KS4
es,adj,educativo,educational,,,,educativo,Este libro es muy educativo.,This book is very educational.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el empleo,"work, job, occupation",,,el,el empleo,Busco un empleo en mi ciudad.,I am looking for a job in my city.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el fútbol,football,,,el,el fútbol,Me gusta jugar al fútbol.,I like to play football.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la medicina,medicine,,,la,la medicina,Estudia medicina en la universidad.,He studies medicine at university.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el zapato,shoe,,,el,el zapato,Perdí mi zapato en la escuela ayer.,I lost my shoe at school yesterday.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la amistad,friendship,,,la,la amistad,Nuestra amistad es muy importante para mí.,Our friendship is very important to me.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la profesión,profession,,,la,la profesión,Mi padre tiene una profesión interesante.,My father has an interesting profession.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la tienda,"shop, tent",,,la,la tienda,Voy a comprar en la tienda ahora.,I am going to shop at the store now.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,callarse,"(to) be quiet, quieten down I being quiet, quietening down",,,,callarse,"Por favor, calla durante la película.",Please be quiet during the movie.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el actor,actor (m),,,el,el actor,El actor actuó muy bien en la obra.,The actor performed very well in the play.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el instituto,secondary school,,,el,el instituto,Voy al instituto todos los días.,I go to secondary school every day.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,grabar,(to) record I recording,,,,grabar,Voy a grabar la canción en mi móvil.,I am going to record the song on my phone.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la entrevista,interview,,,la,la entrevista,Tengo una entrevista para un trabajo.,I have an interview for a job.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la bolsa,bag,,,la,la bolsa,Llevo mi libro en la bolsa.,I carry my book in the bag.,AQA,People and lifestyle,Education and work,both,,KS4
es,adj,laboral,"(of) work, relating to work",,,,laboral,Mi padre tiene un horario laboral largo.,My father has a long work schedule.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la biblioteca,library,,,la,la biblioteca,Estudio en la biblioteca todos los días.,I study in the library every day.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el comportamiento,behaviour,,,el,el comportamiento,Su comportamiento fue muy bueno hoy.,His behavior was very good today.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el espectáculo,"show, spectacle",,,el,el espectáculo,Vamos a ver un espectáculo esta noche.,We are going to see a show tonight.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el correo (electrónico),"mail, post (email)",,,el,el correo (electrónico),Recibí un correo electrónico importante.,I received an important email.,AQA,People and lifestyle,Education and work,both,,KS4
es,adj,listo,"ready (after estar), clever, intelligent (after ser)",,,,listo,Estoy listo para la clase ahora.,I am ready for class now.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la discusión,"discussion, argument",,,la,la discusión,Tuvieron una discusión sobre deportes.,They had a discussion about sports.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),científico,scientist,,,,científico,Ella quiere ser científica en el futuro.,She wants to be a scientist in the future.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el puente,"bridge, long weekend",,,el,el puente,Vamos a visitar el puente famoso.,We are going to visit the famous bridge.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el dibujo,"drawing, art",,,el,el dibujo,Hice un dibujo en mi cuaderno.,I made a drawing in my notebook.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la oferta,offer,,,la,la oferta,Hay una oferta especial en la tienda.,There is a special offer in the shop.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el vuelo,flight,,,el,el vuelo,Nuestro vuelo sale a las ocho.,Our flight departs at eight.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el empleado,employee,,,el,el empleado,El empleado trabaja en la oficina.,The employee works in the office.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m),el pantalón,trousers,,,el,el pantalón,Compré pantalones nuevos ayer.,I bought new trousers yesterday.,AQA,People and lifestyle,Education and work,both,,KS4
es,adj,cansado,"tired, tiring",,,,cansado,Estoy cansado después de estudiar mucho.,I am tired after studying a lot.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la instalación,facility,,,la,la instalación,La instalación deportiva es grande.,The sports facility is large.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,votar,(to) vote I voting,,,,votar,Voy a votar en las elecciones.,I am going to vote in the elections.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),pintor,painter,,,,pintor,Mi tío es un pintor famoso.,My uncle is a famous painter.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (f),la camisa,shirt,,,la,la camisa,Llevo una camisa azul hoy.,I am wearing a blue shirt today.,AQA,People and lifestyle,Education and work,both,,KS4
es,v,pelearse,(to) fight (physically) I fighting (physically),,,,pelearse,Los niños se pelearon en el parque.,The children fought in the park.,AQA,People and lifestyle,Education and work,both,,KS4
es,n (m/f),ingeniero,engineer,,,,ingeniero,Mi hermana quiere ser ingeniera.,My sister wants to be an engineer.,AQA,People and lifestyle,Education and work,both,,KS4
