language,frequency_rank,translation,word,part_of_speech,gender,curriculum_level,exam_board_code,Theme,unit_name,tier,,
es,11.0,"no, not",no,adv,,KS4,edexcel,,General and grammatical,both,,
es,12.0,"his, her, its, one's, your (formal), their",su,adj,,KS4,edexcel,,General and grammatical,both,,
es,13.0,(to) have (done something),haber,v,,KS4,edexcel,,General and grammatical,both,,
es,13.0,(I) have (+pp),He,v,,KS4,edexcel,,General and grammatical,both,,
es,13.0,(you (sing informal)) have (+pp),has,v,,KS4,edexcel,,General and grammatical,both,,
es,13.0,"(she, he, it, one) has (+pp) | (you (sing formal)) have (+pp)",ha,v,,KS4,edexcel,,General and grammatical,both,,
es,13.0,(we) have (+pp),hemos,v,,KS4,edexcel,,General and grammatical,both,,
es,13.0,(you (pl informal)) have (+pp),habéis,v,,KS4,edexcel,,General and grammatical,both,,
es,13.0,(they) have (+pp) | (you (pl formal) have (+pp),han,v,,KS4,edexcel,,General and grammatical,both,,
es,13.0,there is | there are,hay,v,,KS4,edexcel,,General and grammatical,both,,
es,13.0,there was | there were | there used to be,había,v,,KS4,edexcel,,General and grammatical,both,,
es,13.0,there will be | there is going to be,habrá,v,,KS4,edexcel,,General and grammatical,both,,
es,13.0,there would be,habría,v,,KS4,edexcel,,General and grammatical,both,,
es,14.0,with,con,prep,,KS4,edexcel,,General and grammatical,both,,
es,15.0,"by, for, through, in, at, per",por,prep,,KS4,edexcel,,General and grammatical,both,,
es,16.0,for; in order to (+ verb),para,prep,,KS4,edexcel,,General and grammatical,both,,
es,18.0,"him, it (m) (obj)",lo,pron,,KS4,edexcel,,General and grammatical,both,,
es,18.0,them (m) (obj),los,pron,,KS4,edexcel,,General and grammatical,both,,
es,19.0,"(to) have | having; (to) have to, must | having to",tener; tener que,v,,KS4,edexcel,,General and grammatical,both,,
es,19.0,"(I) have | (I) am having; (I) have to, must | (I) am having to",tengo; tengo que,v,,KS4,edexcel,,General and grammatical,both,,
es,19.0,"(you (sing informal)) have | (you (sing informal)) are having; (you (sing informal)) have to, must | (you (sing informal)) are having to",tienes; tienes que,v,,KS4,edexcel,,General and grammatical,both,,
es,19.0,"(she, he, it, one) has | (she, he, it, one) is having | (you (sing formal)) have | (you (sing formal)) are having; (she, he, it, one) has to, must | (she, he, it, one) is having to | (you (sing formal)) have to, must | (you (sing formal)) are having to",tiene; tiene que,v,,KS4,edexcel,,General and grammatical,both,,
es,19.0,"(they) have | (they) are having | (you (pl formal)) have | (you (pl formal)) are having; (they) have to, must | (they) are having to | (you (pl formal)) have to, must | (you (pl formal)) are having to",tienen; tienen que,v,,KS4,edexcel,,General and grammatical,both,,
es,19.0,(I) had; (I) had to,tuve; tuve que,v,,KS4,edexcel,,General and grammatical,both,,
es,19.0,"(I) had | (I) used to have | (I) was having | (she, he, it, one) had | (she, he, it, one) used to have | (she, he, it, one) was having | (you (sing formal)) had | (you (sing formal)) used to have | (you (sing formal)) were having; (I) had to | (I) used to have to | (I) was having to | (she, he, it, one) had to | (she, he, it, one) used to have to | (she, he, it, one) was having to |  (you (sing formal)) had to | (you (sing formal)) used to have to | (you (sing formal)) were having to",tenía; tenía que,v,,KS4,edexcel,,General and grammatical,both,,
es,19.0,(you (sing informal)) had | (you (sing informal)) used to have | (you (sing informal)) were having; (you (sing informal)) had to | (you (sing informal)) used to have to | (you (sing informal)) were having to,tenías; tenías que,v,,KS4,edexcel,,General and grammatical,both,,
es,19.0,(I) will have | (I) am going to have; (I) will have to | (I) am going to have to,tendré; tendré que,v,,KS4,edexcel,,General and grammatical,both,,
es,19.0,(I) would have; (I) would have to,tendría; tendría que,v,,KS4,edexcel,,General and grammatical,both,,
es,19.0,Have! (sing informal),¡Ten...!,v,,KS4,edexcel,,General and grammatical,both,,
es,20.0,"like, as",como,conj,,KS4,edexcel,,General and grammatical,both,,
es,21.0,(to) be | being,estar,v,,KS4,edexcel,,General and grammatical,both,,
es,21.0,(I) am | (I) am being,estoy,v,,KS4,edexcel,,General and grammatical,both,,
es,21.0,(you (sing informal)) are | (you (sing informal)) are being,estás,v,,KS4,edexcel,,General and grammatical,both,,
es,21.0,"(she, he, it, one) is | (she, he, it, one) is being | (you (sing formal)) are | (you (sing formal)) are being",está,v,,KS4,edexcel,,General and grammatical,both,,
es,21.0,(they) are | | (they) are being | (you (pl formal)) are |(you (pl formal)) are being,están,v,,KS4,edexcel,,General and grammatical,both,,
es,21.0,(I) was,estuve,v,,KS4,edexcel,,General and grammatical,both,,
es,21.0,"(I, she, he, it, one) was | (I, she, he, it, one) used to be | (you (sing formal)) were | (you (sing formal)) used to be",estaba,v,,KS4,edexcel,,General and grammatical,both,,
es,21.0,(you (sing informal)) were | (you (sing informal)) used to be,estabas,v,,KS4,edexcel,,General and grammatical,both,,
es,22.0,me (obj) | (to) me (indirect obj) | myself (reflex),me,pron,,KS4,edexcel,,General and grammatical,both,,
es,23.0,"more; adj + -er (...than), more (…than)",más; más (…que),adv,,KS4,edexcel,,General and grammatical,both,,
es,24.0,this (m),este,adj,,KS4,edexcel,,General and grammatical,both,,
es,24.0,this (f),esta,adj,,KS4,edexcel,,General and grammatical,both,,
es,24.0,these (m) (f),"estos, estas",adj,,KS4,edexcel,,General and grammatical,both,,
es,25.0,"him (m) (obj) | (to) him, (to) her, (to) it (indirect obj)",le,pron,,KS4,edexcel,,General and grammatical,both,,
es,25.0,"(to) them (m, f) (indirect obj)",les,pron,,KS4,edexcel,,General and grammatical,both,,
es,26.0,"(to) do, make | doing, making",hacer,v,,KS4,edexcel,,General and grammatical,both,,
es,26.0,"(I) do, make | (I) am doing, making",hago,v,,KS4,edexcel,,General and grammatical,both,,
es,26.0,it is (+ weather noun or adjective); (two years) ago,hace; hace (dos años),v,,KS4,edexcel,,General and grammatical,both,,
es,26.0,"(I) did, made",hice,v,,KS4,edexcel,,General and grammatical,both,,
es,26.0,"(she, he, it, one) did, made | (you (sing formal)) did, made",hizo,v,,KS4,edexcel,,General and grammatical,both,,
es,26.0,"(I) will do, make | (I) am going to do, make",haré,v,,KS4,edexcel,,General and grammatical,both,,
es,26.0,"(I) would do, make",haría,v,,KS4,edexcel,,General and grammatical,both,,
es,26.0,"Do!, Make! (sing informal)",¡Haz!,v,,KS4,edexcel,,General and grammatical,both,,
es,26.0,"done, made",hecho,v,,KS4,edexcel,,General and grammatical,both,,
es,27.0,"himself, herself, itself, oneself, yourself (formal) (reflex)",se,pron,,KS4,edexcel,,General and grammatical,both,,
es,28.0,I (subj),yo,pron,,KS4,edexcel,,General and grammatical,both,,
es,29.0,or,"o, u",conj,,KS4,edexcel,,General and grammatical,both,,
es,30.0,but,pero,conj,,KS4,edexcel,,General and grammatical,both,,
es,31.0,"(to) say, tell | saying, telling",decir,v,,KS4,edexcel,,General and grammatical,both,,
es,31.0,"(I) say, tell | (I) am saying, telling",digo,v,,KS4,edexcel,,General and grammatical,both,,
es,31.0,"(I) said, told",dije,v,,KS4,edexcel,,General and grammatical,both,,
es,31.0,"Say!, Tell! (sing informal)",¡Di!,v,,KS4,edexcel,,General and grammatical,both,,
es,31.0,"said, told",dicho,v,,KS4,edexcel,,General and grammatical,both,,
es,32.0,"(to) be able to, can | being able to",poder,v,,KS4,edexcel,,General and grammatical,both,,
es,32.0,"(I) was able to, could",pude,v,,KS4,edexcel,,General and grammatical,both,,
es,32.0,(I) will be able to | (I) am going to be able to,podré,v,,KS4,edexcel,,General and grammatical,both,,
es,32.0,(I) would be able to,podría,v,,KS4,edexcel,,General and grammatical,both,,
es,33.0,(to) go | going,ir,v,,KS4,edexcel,,General and grammatical,both,,
es,33.0,(I) go |(I) am going,voy,v,,KS4,edexcel,,General and grammatical,both,,
es,33.0,(you (sing informal)) go | (you (sing informal)) are going,vas,v,,KS4,edexcel,,General and grammatical,both,,
es,33.0,"(she, he, it, one) goes | (she, he, it, one) is going | (you (sing formal)) go | (you (sing formal)) are going",va,v,,KS4,edexcel,,General and grammatical,both,,
es,33.0,(we) go | (we) are going,vamos,v,,KS4,edexcel,,General and grammatical,both,,
es,33.0,(you (pl informal)) go | (you (pl informal)) are going,vais,v,,KS4,edexcel,,General and grammatical,both,,
es,33.0,(they) go | (they) are going | (you (pl formal)) go | (you (pl formal)) are going,van,v,,KS4,edexcel,,General and grammatical,both,,
es,33.0,"(I, she, he, it, one) used to go | (I, she, he, it, one) was going | you (sing formal)) used to go | (you (sing formal)) were going",iba,v,,KS4,edexcel,,General and grammatical,both,,
es,33.0,(you (sing informal)) used to go | (you (sing informal)) were going,ibas,v,,KS4,edexcel,,General and grammatical,both,,
es,33.0,Go! (sing informal),¡Ve!,v,,KS4,edexcel,,General and grammatical,both,,
es,34.0,that (m),ese,adj,,KS4,edexcel,,General and grammatical,both,,
es,34.0,that (f),esa,adj,,KS4,edexcel,,General and grammatical,both,,
es,34.0,those (m) (f),"esos, esas",adj,,KS4,edexcel,,General and grammatical,both,,
es,35.0,"other, another",otro,adj,,KS4,edexcel,,General and grammatical,both,,
es,36.0,"if, whether",si,conj,,KS4,edexcel,,General and grammatical,both,,
es,37.0,my,mi,adj,,KS4,edexcel,,General and grammatical,both,,
es,38.0,"(to) see, watch | seeing, watching",ver,v,,KS4,edexcel,,General and grammatical,both,,
es,38.0,"(I) see, watch | (I) am seeing, watching",veo,v,,KS4,edexcel,,General and grammatical,both,,
es,38.0,"(I, she, he, it, one) used to see, watch | (I, she, he, it, one) was seeing, watching | (you (sing formal)) used to see, watch | (you (sing formal)) were seeing, watching",veía,v,,KS4,edexcel,,General and grammatical,both,,
es,38.0,"(you (sing informal)) used to see, watch | were seeing, watching",veías,v,,KS4,edexcel,,General and grammatical,both,,
es,38.0,"seen, watched",visto,v,,KS4,edexcel,,General and grammatical,both,,
es,39.0,already,ya,adv,,KS4,edexcel,,General and grammatical,both,,
es,40.0,because,porque,conj,,KS4,edexcel,,General and grammatical,both,,
es,41.0,"much, many, a lot of",mucho,adj,,KS4,edexcel,,General and grammatical,both,,
es,41.0,"a lot, much",mucho,adv,,KS4,edexcel,,General and grammatical,both,,
es,42.0,(to) give | giving,dar,v,,KS4,edexcel,,General and grammatical,both,,
es,42.0,(I) give | (I) am giving,doy,v,,KS4,edexcel,,General and grammatical,both,,
es,42.0,(I) gave,di,v,,KS4,edexcel,,General and grammatical,both,,
es,42.0,(you (sing informal)) gave,diste,v,,KS4,edexcel,,General and grammatical,both,,
es,42.0,"(she, he, it, one) gave | (you (sing formal)) gave",dio,v,,KS4,edexcel,,General and grammatical,both,,
es,42.0,(we) gave,dimos,v,,KS4,edexcel,,General and grammatical,both,,
es,42.0,(you (pl informal)) gave,disteis,v,,KS4,edexcel,,General and grammatical,both,,
es,42.0,(they) gave | (you (pl formal)) gave,dieron,v,,KS4,edexcel,,General and grammatical,both,,
es,43.0,very,muy,adv,,KS4,edexcel,,General and grammatical,both,,
es,44.0,(to) know (how to),saber,v,,KS4,edexcel,,General and grammatical,both,,
es,44.0,(I) know (how to),sé,v,,KS4,edexcel,,General and grammatical,both,,
es,45.0,yes,sí,intj,,KS4,edexcel,,General and grammatical,both,,
es,46.0,year,el año,n,(m),KS4,edexcel,,General and grammatical,both,,
es,48.0,you (sing informal) (obj) | (to) you (sing informal) (indirect obj) | yourself (sing informal) (reflex),te,pron,,KS4,edexcel,,General and grammatical,both,,
es,49.0,also,también,adv,,KS4,edexcel,,General and grammatical,both,,
es,50.0,what(?),Qué?,pron,,KS4,edexcel,,General and grammatical,both,,
es,51.0,"a/an, any (m)",alguno,det,,KS4,edexcel,,General and grammatical,both,,
es,51.0,"a/an, any (m, before a noun)",algún,det,,KS4,edexcel,,General and grammatical,both,,
es,51.0,"one, some (of them) (for plural noun)",alguno,pron,,KS4,edexcel,,General and grammatical,both,,
es,53.0,"your (sing, informal)",tu,adj,,KS4,edexcel,,General and grammatical,both,,
es,54.0,"without, without (+ -ing)","sin, sin",prep,,KS4,edexcel,,General and grammatical,both,,
es,55.0,same,mismo,adj,,KS4,edexcel,,General and grammatical,both,,
es,56.0,that (nt),eso,pron,,KS4,edexcel,,General and grammatical,both,,
es,57.0,when,cuando,conj,,KS4,edexcel,,General and grammatical,both,,
es,58.0,"(to) want, love | wanting, loving",querer,v,,KS4,edexcel,,General and grammatical,both,,
es,58.0,"(I) wanted, loved",quise,v,,KS4,edexcel,,General and grammatical,both,,
es,58.0,(I) would like (formal),quisiera,v,,KS4,edexcel,,General and grammatical,both,,
es,59.0,"time (once, twice…)",la vez,n,(f),KS4,edexcel,,General and grammatical,both,,
es,60.0,"until, up to",hasta,prep,,KS4,edexcel,,General and grammatical,both,,
es,61.0,"her, it (f) (obj)",la,pron,,KS4,edexcel,,General and grammatical,both,,
es,61.0,them (f) (obj),las,pron,,KS4,edexcel,,General and grammatical,both,,
es,62.0,"on, on top of, about",sobre,prep,,KS4,edexcel,,General and grammatical,both,,
es,63.0,"between, among",entre,prep,,KS4,edexcel,,General and grammatical,both,,
es,64.0,two,dos,num,,KS4,edexcel,,General and grammatical,both,,
es,65.0,"day, daytime",el día,n,(m),KS4,edexcel,,General and grammatical,both,,
es,66.0,"big, large (m, f) (post-noun)",grande,adj,,KS4,edexcel,,General and grammatical,both,,
es,66.0,"big, great (m, f) (pre-noun)",gran,adj,,KS4,edexcel,,General and grammatical,both,,
es,67.0,"like this, like that",así,adv,,KS4,edexcel,,General and grammatical,both,,
es,68.0,"(to) spend (time), pass by, happen | spending (time), passing by, happening",pasar,v,,KS4,edexcel,,General and grammatical,both,,
es,69.0,thing,la cosa,n,(f),KS4,edexcel,,General and grammatical,both,,
es,70.0,"from, since",desde,prep,,KS4,edexcel,,General and grammatical,both,,
es,71.0,"(to) have to, must | having to",deber,v,,KS4,edexcel,,General and grammatical,both,,
es,72.0,she (subj),ella,pron,,KS4,edexcel,,General and grammatical,both,,
es,72.0,they (f) (subj),ellas,pron,,KS4,edexcel,,General and grammatical,both,,
es,73.0,"so, well, well then",pues,conj,,KS4,edexcel,,General and grammatical,both,,
es,74.0,"then, so",entonces,adv,,KS4,edexcel,,General and grammatical,both,,
es,76.0,"a few, not much, not many",poco,adj,,KS4,edexcel,,General and grammatical,both,,
es,76.0,"not much, little",(un) poco,adv,,KS4,edexcel,,General and grammatical,both,,
es,77.0,our,"nuestro, nuestra, nuestros, nuestras",det,,KS4,edexcel,,General and grammatical,both,,
es,78.0,"well, good",bien,adv,,KS4,edexcel,,General and grammatical,both,,
es,80.0,"time, weather",el tiempo,n,(m),KS4,edexcel,,General and grammatical,both,,
es,81.0,now,ahora,adv,,KS4,edexcel,,General and grammatical,both,,
es,82.0,first,primero,adj,,KS4,edexcel,,General and grammatical,both,,
es,82.0,first (m) (pre-noun),primer,adj,,KS4,edexcel,,General and grammatical,both,,
es,83.0,"(to) think, believe | thinking, believing",creer,v,,KS4,edexcel,,General and grammatical,both,,
es,84.0,where,donde,conj,,KS4,edexcel,,General and grammatical,both,,
es,86.0,"(to) leave, allow | leaving, allowing; (to) stop + verb (-ing) | stopping + verb (-ing)",dejar,v,,KS4,edexcel,,General and grammatical,both,,
es,87.0,"nothing, anything (after negative verb)","nada, (no) nada",pron,,KS4,edexcel,,General and grammatical,both,,
es,90.0,(to) speak | speaking,hablar,v,,KS4,edexcel,,General and grammatical,both,,
es,91.0,"(to) put | putting; (to) put (on), get, become | putting (on), getting, becoming",poner; ponerse,v,,KS4,edexcel,,General and grammatical,both,,
es,91.0,"(I) put; I put (on), got, became",puse; me puse,v,,KS4,edexcel,,General and grammatical,both,,
es,91.0,"(I) will put | (I) am going (to) put; (I) will put (on), get, become | (I) am going to put (on), get, become",pondré; me pondré,v,,KS4,edexcel,,General and grammatical,both,,
es,91.0,"I would put; (I) would put (on), get, become",pondría; me pondría,v,,KS4,edexcel,,General and grammatical,both,,
es,91.0,Put! (sing informal); Put on! (sing informal),¡Pon!; ¡Ponte!,v,,KS4,edexcel,,General and grammatical,both,,
es,91.0,put,puesto,v,,KS4,edexcel,,General and grammatical,both,,
es,92.0,part,la parte,n,(f),KS4,edexcel,,General and grammatical,both,,
es,94.0,new,nuevo,adj,,KS4,edexcel,,General and grammatical,both,,
es,95.0,"only, just",sólo,adv,,KS4,edexcel,,General and grammatical,both,,
es,96.0,"always, forever",siempre,adv,,KS4,edexcel,,General and grammatical,both,,
es,99.0,"(to) follow, continue I following, continuing",seguir,v,,KS4,edexcel,,General and grammatical,both,,
es,100.0,(to) meet up | meeting up; (to) stay | staying,quedar; quedarse,v,,KS4,edexcel,,General and grammatical,both,,
es,103.0,good,bueno,adj,,KS4,edexcel,,General and grammatical,both,,
es,103.0,good (before singular masculine noun),buen,adj,,KS4,edexcel,,General and grammatical,both,,
es,105.0,(to) think (of/about) | thinking (of/about),pensar ,v,,KS4,edexcel,,General and grammatical,both,,
es,107.0,"each, every",cada,adj,,KS4,edexcel,,General and grammatical,both,,
es,110.0,something,algo,pron,,KS4,edexcel,,General and grammatical,both,,
es,111.0,this (n),esto,pron,,KS4,edexcel,,General and grammatical,both,,
es,112.0,(to) return  I  returning,volver,v,,KS4,edexcel,,General and grammatical,both,,
es,112.0,returned,vuelto,v,,KS4,edexcel,,General and grammatical,both,,
es,113.0,you (sing formal) (subj),usted,pron,,KS4,edexcel,,General and grammatical,both,,
es,113.0,you (pl formal) (subj),ustedes,pron,,KS4,edexcel,,General and grammatical,both,,
es,114.0,"(to) leave, depart, go out | leaving, departing, going out",salir,v,,KS4,edexcel,,General and grammatical,both,,
es,114.0,Leave! (sing informal),¡Sal!,v,,KS4,edexcel,,General and grammatical,both,,
es,115.0,"after, afterwards",después ,adv,,KS4,edexcel,,General and grammatical,both,,
es,116.0,better,mejor,adj,,KS4,edexcel,,General and grammatical,both,,
es,117.0,"less, fewer; less (…than), fewer (…than)",menos; menos (…que),adj,,KS4,edexcel,,General and grammatical,both,,
es,117.0,less; less (… than),menos; menos (…que),adv,,KS4,edexcel,,General and grammatical,both,,
es,117.0,"except, minus",menos,prep,,KS4,edexcel,,General and grammatical,both,,
es,118.0,(to) come | coming,venir,v,,KS4,edexcel,,General and grammatical,both,,
es,118.0,(I) came,vine,v,,KS4,edexcel,,General and grammatical,both,,
es,118.0,Come! (sing informal),¡Ven!,v,,KS4,edexcel,,General and grammatical,both,,
es,121.0,moment,el momento,n,(m),KS4,edexcel,,General and grammatical,both,,
es,122.0,"(to) call, phone | calling, phoning; (to) be called | being called",llamar; llamarse,v,,KS4,edexcel,,General and grammatical,both,,
es,125.0,"(to) look, watch  I  looking, watching",mirar,v,,KS4,edexcel,,General and grammatical,both,,
es,130.0,here,aquí,adv,,KS4,edexcel,,General and grammatical,both,,
es,133.0,"(to) take, have (drink, food) | taking, having",tomar,v,,KS4,edexcel,,General and grammatical,both,,
es,134.0,three,tres,num,,KS4,edexcel,,General and grammatical,both,,
es,135.0,hand,la mano,n,(f),KS4,edexcel,,General and grammatical,both,,
es,138.0,when,cuándo,adv,,KS4,edexcel,,General and grammatical,both,,
es,139.0,during,durante,prep,,KS4,edexcel,,General and grammatical,both,,
es,145.0,problem,el problema,n,(m),KS4,edexcel,,General and grammatical,both,,
es,149.0,together,juntos,adj,,KS4,edexcel,,General and grammatical,both,,
es,150.0,"later, afterwards",luego,adv,,KS4,edexcel,,General and grammatical,both,,
es,151.0,how,cómo,adv,,KS4,edexcel,,General and grammatical,both,,
es,154.0,"elder, eldest, larger, main",mayor,adj,,KS4,edexcel,,General and grammatical,both,,
es,157.0,"(to) hope, wait, expect | hoping, waiting, expecting",esperar,v,,KS4,edexcel,,General and grammatical,both,,
es,158.0,never,"nunca, (no) nunca",adv,,KS4,edexcel,,General and grammatical,both,,
es,160.0,"hour, time (specific)",la hora,n,(f),KS4,edexcel,,General and grammatical,both,,
es,161.0,where,dónde,adv,,KS4,edexcel,,General and grammatical,both,,
es,163.0,"(to) like, be pleasing to | liking, being pleasing to",gustar,v,,KS4,edexcel,,General and grammatical,both,,
es,164.0,"night, evening",la noche,n,(f),KS4,edexcel,,General and grammatical,both,,
es,165.0,"we (m, mixed gender) (subj)",nosotros,pron,,KS4,edexcel,,General and grammatical,both,,
es,165.0,we (f) (subj),nosotras,pron,,KS4,edexcel,,General and grammatical,both,,
es,167.0,today,hoy,adv,,KS4,edexcel,,General and grammatical,both,,
es,168.0,"type, kind, sort",el tipo,n,(m),KS4,edexcel,,General and grammatical,both,,
es,170.0,way,la manera,n,(f),KS4,edexcel,,General and grammatical,both,,
es,171.0,important,importante,adj,,KS4,edexcel,,General and grammatical,both,,
es,176.0,truth,la verdad,n,(f),KS4,edexcel,,General and grammatical,both,,
es,177.0,against,(en) contra,prep,,KS4,edexcel,,General and grammatical,both,,
es,179.0,"(to) look for, search |looking for,  searching",buscar,v,,KS4,edexcel,,General and grammatical,both,,
es,180.0,there,ahí,adv,,KS4,edexcel,,General and grammatical,both,,
es,181.0,alone,solo,adj,,KS4,edexcel,,General and grammatical,both,,
es,183.0,own,propio,adj,,KS4,edexcel,,General and grammatical,both,,
es,184.0,you (sing informal) (subj),tú,pron,,KS4,edexcel,,General and grammatical,both,,
es,187.0,example,el ejemplo,n,(m),KS4,edexcel,,General and grammatical,both,,
es,188.0,"last, latest",último,adj,,KS4,edexcel,,General and grammatical,both,,
es,189.0,"point, full stop, dot",el punto,n,(m),KS4,edexcel,,General and grammatical,both,,
es,190.0,before,antes,adv,,KS4,edexcel,,General and grammatical,both,,
es,191.0,one thousand,mil,num,,KS4,edexcel,,General and grammatical,both,,
es,192.0,word,la palabra,n,(f),KS4,edexcel,,General and grammatical,both,,
es,195.0,"(to) lose, waste, miss | losing, wasting, missing; (to) get lost | getting lost",perder; perderse,v,,KS4,edexcel,,General and grammatical,both,,
es,197.0,"there, over there",allí,adv,,KS4,edexcel,,General and grammatical,both,,
es,201.0,"Mr, sir",el señor,n,(m),KS4,edexcel,,General and grammatical,both,,
es,202.0,"small, little, young",pequeño,adj,,KS4,edexcel,,General and grammatical,both,,
es,206.0,"nobody, no one, anybody (after negative verb), anyone (after negative verb)","nadie, (no) nadie",pron,,KS4,edexcel,,General and grammatical,both,,
es,207.0,"(to) enter, go in | entering, going in",entrar,v,,KS4,edexcel,,General and grammatical,both,,
es,211.0,"(to) remember, remind | remembering, reminding",recordar,v,,KS4,edexcel,,General and grammatical,both,,
es,213.0,"unique, only",único,adj,,KS4,edexcel,,General and grammatical,both,,
es,216.0,"(to) receive, welcome | receiving, welcoming",recibir,v,,KS4,edexcel,,General and grammatical,both,,
es,219.0,(to) ask | asking,preguntar,v,,KS4,edexcel,,General and grammatical,both,,
es,223.0,second,segundo,adj,,KS4,edexcel,,General and grammatical,both,,
es,225.0,"old, aged",viejo,adj,,KS4,edexcel,,General and grammatical,both,,
es,228.0,national,nacional,adj,,KS4,edexcel,,General and grammatical,both,,
es,234.0,"(to) start, begin | starting, beginning",comenzar,v,,KS4,edexcel,,General and grammatical,both,,
es,236.0,"under, underneath",bajo,prep,,KS4,edexcel,,General and grammatical,both,,
es,241.0,four,cuatro,num,,KS4,edexcel,,General and grammatical,both,,
es,246.0,(to) open | opening,abrir,v,,KS4,edexcel,,General and grammatical,both,,
es,246.0,opened,abierto,v,,KS4,edexcel,,General and grammatical,both,,
es,247.0,idea,la idea,n,(f),KS4,edexcel,,General and grammatical,both,,
es,248.0,million,millón,num,,KS4,edexcel,,General and grammatical,both,,
es,249.0,(to) sit down | sitting down,sentar(se),v,,KS4,edexcel,,General and grammatical,both,,
es,251.0,(to) fall | falling,caer(se),v,,KS4,edexcel,,General and grammatical,both,,
es,253.0,"(to) finish, end | finishing, ending",terminar(se),v,,KS4,edexcel,,General and grammatical,both,,
es,254.0,(to) hear | hearing,oír,v,,KS4,edexcel,,General and grammatical,both,,
es,254.0,(I) hear | (I) am hearing,oigo,v,,KS4,edexcel,,General and grammatical,both,,
es,254.0,(you (sing informal)) hear |(you (sing informal)) are hearing,oyes,v,,KS4,edexcel,,General and grammatical,both,,
es,254.0,"(she, he, it, one) hears | (you (sing formal)) hear | (she, he, it, one) is hearing | you (sing formal)) are hearing",oye,v,,KS4,edexcel,,General and grammatical,both,,
es,255.0,"(to) change, exchange | changing, exchanging ; (to) get changed | getting changed",cambiar; cambiarse,v,,KS4,edexcel,,General and grammatical,both,,
es,256.0,"no, not…any (m)",ninguno,det,,KS4,edexcel,,General and grammatical,both,,
es,256.0,"no, not…any (m, before a noun)",ningún,det,,KS4,edexcel,,General and grammatical,both,,
es,256.0,"no-one, none, (a single ) one (after negative verb), anyone (after negative verb)",ninguno,pron,,KS4,edexcel,,General and grammatical,both,,
